scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,WIN
2000-11-19 18:03:00,TEN,24.0,CLE,10.0,TEN
2000-11-19 21:05:09,DEN,38.0,SD,37.0,DEN
2000-11-19 19:09:41,MIN,31.0,CAR,17.0,MIN
2000-11-19 18:02:27,NO,22.0,OAK,31.0,OAK
2000-11-21 02:09:31,STL,20.0,WAS,33.0,WAS
2000-11-20 01:36:19,PIT,24.0,JAC,34.0,JAC
2000-11-19 21:16:27,SF,16.0,ATL,6.0,SF
2000-11-19 18:02:30,PHI,34.0,ARI,9.0,PHI
2000-11-19 18:05:35,KC,17.0,BUF,21.0,BUF
2000-11-19 18:05:02,NYG,21.0,DET,31.0,DET
2000-11-19 21:05:12,MIA,3.0,NYJ,20.0,NYJ
2000-11-19 21:16:20,BAL,27.0,DAL,0.0,BAL
2000-11-19 18:03:37,GB,26.0,IND,24.0,GB
2000-11-19 18:04:21,CHI,13.0,TB,10.0,CHI
2000-11-27 01:36:47,ARI,7.0,NYG,31.0,NYG
2000-11-26 18:03:16,NYJ,17.0,CHI,10.0,NYJ
2000-11-26 18:03:23,CIN,28.0,PIT,48.0,PIT
2000-11-26 00:00:00,OAK,41.0,ATL,14.0,OAK
2000-11-23 17:37:13,DET,34.0,NE,9.0,DET
2000-11-26 18:05:36,WAS,20.0,PHI,23.0,PHI
2000-11-26 18:02:57,BAL,44.0,CLE,7.0,BAL
2000-11-26 21:15:24,JAC,16.0,TEN,13.0,JAC
2000-11-26 18:04:39,STL,24.0,NO,31.0,NO
2000-11-28 02:17:33,CAR,31.0,GB,14.0,CAR
2000-11-23 21:09:29,DAL,15.0,MIN,27.0,MIN
2000-11-26 18:01:34,TB,31.0,BUF,17.0,TB
2000-11-26 21:15:33,SD,17.0,KC,16.0,SD
2000-11-26 21:16:11,IND,14.0,MIA,17.0,MIA
2000-11-26 00:00:00,SEA,31.0,DEN,38.0,DEN
2000-12-03 18:04:41,CIN,24.0,ARI,13.0,CIN
2000-12-03 18:04:31,PIT,21.0,OAK,20.0,PIT
2000-12-03 21:15:49,NYJ,27.0,IND,17.0,NYJ
2000-12-03 18:03:10,PHI,13.0,TEN,15.0,TEN
2000-12-03 21:05:13,SD,17.0,SF,45.0,SF
2000-12-03 18:02:52,BUF,6.0,MIA,33.0,MIA
2000-12-03 18:04:32,CAR,16.0,STL,3.0,CAR
2000-12-03 21:16:24,JAC,48.0,CLE,0.0,JAC
2000-12-03 18:03:28,WAS,7.0,NYG,9.0,NYG
2000-12-01 02:36:35,MIN,24.0,DET,17.0,MIN
2000-12-03 18:02:34,NO,23.0,DEN,38.0,DEN
2000-12-03 18:03:00,ATL,10.0,SEA,30.0,SEA
2000-12-05 02:10:33,NE,30.0,KC,24.0,NE
2000-12-04 01:38:02,CHI,6.0,GB,28.0,GB
2000-12-03 18:04:12,TB,27.0,DAL,7.0,TB
2000-12-10 18:02:45,GB,26.0,DET,13.0,GB
2000-12-10 21:05:27,DEN,31.0,SEA,24.0,DEN
2000-12-10 18:03:45,NYG,30.0,PIT,10.0,NYG
2000-12-10 18:02:39,MIA,13.0,TB,16.0,TB
2000-12-10 18:02:13,KC,15.0,CAR,14.0,KC
2000-12-10 18:03:21,CLE,24.0,PHI,35.0,PHI
2000-12-10 18:03:29,CHI,24.0,NE,17.0,CHI
2000-12-10 21:15:47,DAL,32.0,WAS,13.0,DAL
2000-12-10 00:00:00,OAK,31.0,NYJ,7.0,OAK
2000-12-12 02:10:10,IND,44.0,BUF,20.0,IND
2000-12-10 18:02:57,BAL,24.0,SD,3.0,BAL
2000-12-10 21:15:27,SF,27.0,NO,31.0,NO
2000-12-10 21:16:05,STL,40.0,MIN,29.0,STL
2000-12-10 18:02:21,JAC,44.0,ARI,10.0,JAC
2000-12-10 18:04:05,TEN,35.0,CIN,3.0,TEN
2000-12-17 18:02:11,BUF,10.0,NE,13.0,NE
2000-12-17 18:03:36,NYJ,7.0,DET,10.0,DET
2000-12-19 02:09:30,TB,38.0,STL,35.0,TB
2000-12-17 21:16:07,MIA,13.0,IND,20.0,IND
2000-12-16 21:06:43,SEA,27.0,OAK,24.0,SEA
2000-12-17 18:03:07,CLE,0.0,TEN,24.0,TEN
2000-12-16 17:38:28,PIT,24.0,WAS,3.0,PIT
2000-12-17 18:03:52,CAR,30.0,SD,22.0,CAR
2000-12-17 18:02:49,CIN,17.0,JAC,14.0,CIN
2000-12-18 07:02:15,ARI,7.0,BAL,13.0,BAL
2000-12-17 19:03:17,MIN,28.0,GB,33.0,GB
2000-12-17 21:07:55,SF,17.0,CHI,0.0,SF
2000-12-17 18:03:20,NO,23.0,ATL,7.0,NO
2000-12-18 06:12:00,KC,20.0,DEN,7.0,KC
2000-12-18 01:35:59,DAL,13.0,NYG,17.0,NYG
2000-12-23 17:35:32,NYG,28.0,JAC,25.0,NYG
2000-12-24 18:03:18,BAL,34.0,NYJ,20.0,BAL
2000-12-24 21:16:48,IND,31.0,MIN,10.0,IND
2000-12-24 18:03:31,DET,20.0,CHI,23.0,CHI
2000-12-24 18:02:22,NE,24.0,MIA,27.0,MIA
2000-12-26 02:11:53,TEN,31.0,DAL,0.0,TEN
2000-12-24 21:05:14,SD,21.0,PIT,34.0,PIT
2000-12-24 18:04:03,WAS,20.0,ARI,3.0,WAS
2000-12-24 18:03:49,PHI,16.0,CIN,7.0,PHI
2000-12-24 18:02:15,ATL,29.0,KC,13.0,ATL
2000-12-23 21:16:45,DEN,38.0,SF,9.0,DEN
2000-12-24 00:00:00,OAK,52.0,CAR,9.0,OAK
2000-12-24 01:35:45,SEA,23.0,BUF,42.0,BUF
2000-12-24 18:02:46,NO,21.0,STL,26.0,STL
2000-12-24 18:02:54,GB,17.0,TB,14.0,GB
2001-09-11 01:08:01,DEN,31.0,NYG,20.0,DEN
2001-09-09 20:17:35,SF,16.0,ATL,13.0,SF
2001-09-09 17:05:01,BUF,6.0,NO,24.0,NO
2001-09-09 17:03:08,GB,28.0,DET,6.0,GB
2001-09-09 17:03:21,CIN,23.0,NE,17.0,CIN
2001-09-09 20:16:12,PHI,17.0,STL,20.0,STL
2001-09-09 17:03:45,JAC,21.0,PIT,3.0,JAC
2001-09-09 17:03:00,DAL,6.0,TB,10.0,TB
2001-09-09 17:03:08,CLE,6.0,SEA,9.0,SEA
2001-09-09 17:05:04,MIN,13.0,CAR,24.0,CAR
