,Hour,OffenseType_Aggravated Assault,OffenseType_Auto Theft,OffenseType_Burglary,OffenseType_Murder,OffenseType_Rape,OffenseType_Robbery,OffenseType_Theft,game
2010-04-06,19,0,0,1,0,0,0,0,No Game
2010-04-06,20,0,1,0,0,0,0,0,No Game
2010-04-07,21,0,0,0,0,0,1,0,No Game
2010-04-08,17,1,0,0,0,0,0,0,No Game
2010-04-08,19,0,0,1,0,0,0,0,No Game
2010-04-09,17,0,1,0,0,0,0,0,No Game
2010-04-09,18,0,0,0,0,0,0,1,No Game
2010-04-09,20,0,0,0,0,0,0,1,No Game
2010-04-10,0,0,0,0,0,0,0,1,No Game
2010-04-10,0,0,0,0,0,0,0,1,No Game
2010-04-10,18,1,0,0,0,0,0,0,No Game
2010-04-10,20,0,0,1,0,0,0,0,No Game
2010-04-11,9,0,1,0,0,0,0,0,No Game
2010-04-11,11,1,0,0,0,0,0,0,No Game
2010-04-11,12,0,0,0,0,0,1,0,No Game
2010-04-11,22,0,0,0,0,0,0,1,No Game
2010-04-12,8,0,0,0,0,0,0,1,No Game
2010-04-12,14,0,0,0,0,0,0,1,No Game
2010-04-12,21,0,0,0,0,0,1,0,No Game
2010-04-13,11,0,0,0,0,0,0,1,No Game
2010-04-13,12,0,0,0,0,0,0,1,No Game
2010-04-14,9,0,0,0,0,0,0,1,No Game
2010-04-14,11,0,0,1,0,0,0,0,No Game
2010-04-14,17,1,0,0,0,0,0,0,No Game
2010-04-14,18,0,0,0,0,0,0,1,No Game
2010-04-14,21,0,0,0,0,0,0,1,No Game
2010-04-14,21,1,0,0,0,0,0,0,No Game
2010-04-15,0,0,0,0,0,0,0,1,No Game
2010-04-15,0,0,0,0,0,0,0,1,No Game
2010-04-15,1,0,0,0,0,0,0,1,No Game
2010-04-15,5,0,0,1,0,0,0,0,No Game
2010-04-15,12,0,0,0,0,0,0,1,No Game
2010-04-15,13,1,0,0,0,0,0,0,No Game
2010-04-15,21,0,0,1,0,0,0,0,No Game
2010-04-15,23,1,0,0,0,0,0,0,No Game
2010-04-16,0,0,0,1,0,0,0,0,No Game
2010-04-16,7,0,0,0,0,0,0,1,No Game
2010-04-16,11,0,0,1,0,0,0,0,No Game
2010-04-16,15,0,0,0,0,0,0,1,No Game
2010-04-16,19,0,1,0,0,0,0,0,No Game
2010-04-16,22,0,0,0,0,0,0,1,No Game
2010-04-17,0,0,0,0,0,0,0,1,No Game
2010-04-17,8,0,0,0,0,0,0,1,No Game
2010-04-17,18,0,0,0,0,0,0,1,No Game
2010-04-17,22,1,0,0,0,0,0,0,No Game
2010-04-18,0,1,0,0,0,0,0,0,No Game
2010-04-19,9,0,0,1,0,0,0,0,No Game
2010-04-19,9,1,0,0,0,0,0,0,No Game
2010-04-19,12,0,0,0,0,0,0,1,No Game
2010-04-19,15,0,0,0,0,0,0,1,No Game
2010-04-19,17,0,0,0,0,0,0,1,No Game
2010-04-19,19,0,0,0,0,0,0,1,No Game
2010-04-19,20,0,0,0,0,0,1,0,No Game
2010-04-20,22,0,0,1,0,0,0,0,No Game
2010-04-21,9,0,0,0,0,0,0,1,No Game
2010-04-21,20,0,0,0,0,0,0,1,No Game
2010-04-22,11,1,0,0,0,0,0,0,No Game
2010-04-22,11,0,0,1,0,0,0,0,No Game
2010-04-22,20,0,0,0,0,0,0,1,No Game
2010-04-22,20,1,0,0,0,0,0,0,No Game
2010-04-22,22,1,0,0,0,0,0,0,No Game
2010-04-23,0,0,0,0,0,0,0,1,No Game
