,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,add,dist_stadium,game
2010-01-03,10H30,Theft,commercial parking lot/garage,1.0,4.0,3.0,Sunday,Jan,2010.0,29.7588305,-95.3514025,"1950 Commerce St, Houston, TX 77002, USA",0.4606132977222973,No Game
2010-01-03,10H30,Theft,construction site,1.0,18.0,3.0,Sunday,Jan,2010.0,29.7511977,-95.3561884,"2050 McKinney St, Houston, TX 77003, USA",0.23792809366585296,No Game
2010-01-04,1A10,Theft,other/unknown,1.0,0.0,4.0,Monday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-04,1A10,Theft,office building,1.0,0.0,4.0,Monday,Jan,2010.0,29.7630652,-95.3578407,"50 San Jacinto St, Houston, TX 77002, USA",0.8166874335688056,No Game
2010-01-04,1A10,Theft,department/discount store,1.0,14.0,4.0,Monday,Jan,2010.0,29.7560402,-95.3663019,"1150 S Main St, Houston, TX 77002, USA",0.8763871001139557,No Game
2010-01-04,1A10,Theft,grocery/supermarket,1.0,14.0,4.0,Monday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-04,1A10,Burglary,vacant building (commercial),1.0,17.0,4.0,Monday,Jan,2010.0,29.7521441,-95.3712952,"1750 Milam St, Houston, TX 77002, USA",1.1356496544276513,No Game
2010-01-04,1A10,Theft,other parking lot,1.0,18.0,4.0,Monday,Jan,2010.0,29.7599424,-95.3765772,"550 Allen Pkwy, Houston, TX 77019, USA",1.547815598572611,No Game
2010-01-04,10H10,Theft,commercial parking lot/garage,1.0,8.0,4.0,Monday,Jan,2010.0,29.7453432,-95.3349547,"450 Hunt St, Houston, TX 77003, USA",1.1499907163710876,No Game
2010-01-04,10H10,Burglary,apartment,1.0,14.0,4.0,Monday,Jan,2010.0,29.7628744,-95.3512092,"1950 Runnels St, Houston, TX 77002, USA",0.7387059537368563,No Game
2010-01-04,10H30,Burglary,apartment,1.0,8.0,4.0,Monday,Jan,2010.0,29.741344,-95.3539779,"1750 Aden Mist Dr, Houston, TX 77003, USA",0.7537287529178354,No Game
2010-01-05,1A10,Theft,mall parking lot,1.0,6.0,5.0,Tuesday,Jan,2010.0,29.7561039,-95.3672729,"1150 Travis St, Houston, TX 77002, USA",0.9334443673413866,No Game
2010-01-05,1A10,Theft,---,1.0,8.0,5.0,Tuesday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-05,1A10,Theft,commercial parking lot/garage,1.0,9.0,5.0,Tuesday,Jan,2010.0,29.7506311,-95.37001479999999,"1850 S Main St, Houston, TX 77002, USA",1.0641969738455435,No Game
2010-01-05,1A10,Theft,road/street/sidewalk,1.0,16.0,5.0,Tuesday,Jan,2010.0,29.7554771,-95.362471,"1250 McKinney St, Houston, TX 77010, USA",0.6459972632637647,No Game
2010-01-05,1A10,Theft,commercial building,1.0,22.0,5.0,Tuesday,Jan,2010.0,29.7545536,-95.3714299,"1550 Louisiana St, Houston, TX 77002, USA",1.1551568659467917,No Game
2010-01-05,10H10,Burglary,convenience store,1.0,2.0,5.0,Tuesday,Jan,2010.0,29.7525615,-95.3383032,"3350 Canal St, Houston, TX 77003, USA",0.8476127660505035,No Game
2010-01-05,10H30,Theft,road/street/sidewalk,1.0,13.0,5.0,Tuesday,Jan,2010.0,29.7611979,-95.34920699999999,"150 Chartres St, Houston, TX 77003, USA",0.6487862573404016,No Game
2010-01-05,10H30,Burglary,commercial building,1.0,18.0,5.0,Tuesday,Jan,2010.0,29.7488639,-95.3537793,"2350 Lamar St, Houston, TX 77003, USA",0.2442804968557498,No Game
2010-01-06,1A10,Theft,other/unknown,1.0,0.0,6.0,Wednesday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-06,1A10,Theft,apartment parking lot,1.0,0.0,6.0,Wednesday,Jan,2010.0,29.762541100000004,-95.3609397,"250 S Main St, Houston, TX 77002, USA",0.8779166456112548,No Game
2010-01-06,1A10,Burglary,restaurant/cafeteria,1.0,3.0,6.0,Wednesday,Jan,2010.0,29.7679717,-95.3535772,"1350 Nance St, Houston, TX 77002, USA",1.0886245329493498,No Game
2010-01-06,1A10,Theft,commercial parking lot/garage,1.0,8.0,6.0,Wednesday,Jan,2010.0,29.7550625,-95.3663662,"1250 S Main St, Houston, TX 77002, USA",0.862232096799854,No Game
2010-01-06,1A10,Theft,apartment,1.0,16.0,6.0,Wednesday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-06,1A10,Theft,apartment parking lot,1.0,17.0,6.0,Wednesday,Jan,2010.0,29.751410600000003,-95.3683099,"1650 Fannin St, Houston, TX 77002, USA",0.9577680988046986,No Game
2010-01-06,1A10,Theft,commercial parking lot/garage,1.0,22.0,6.0,Wednesday,Jan,2010.0,29.7588305,-95.3514025,"1950 Commerce St, Houston, TX 77002, USA",0.4606132977222973,No Game
2010-01-06,10H30,Theft,driveway,1.0,0.0,6.0,Wednesday,Jan,2010.0,29.7571808,-95.36528919999999,"950 McKinney St, Houston, TX 77002, USA",0.8472176223021747,No Game
2010-01-07,1A10,Theft,commercial parking lot/garage,1.0,8.0,7.0,Thursday,Jan,2010.0,29.7530187,-95.3644407,"1250 Polk St, Houston, TX 77002, USA",0.7258631659647072,No Game
2010-01-07,1A10,Theft,office building,1.0,9.0,7.0,Thursday,Jan,2010.0,29.758122,-95.3683099,"1050 Louisiana St, Houston, TX 77002, USA",1.0395580891016332,No Game
2010-01-07,1A10,Theft,"gym,recreat,club hse,indr pool,spa",1.0,12.0,7.0,Thursday,Jan,2010.0,29.7536089,-95.3718319,"1650 Louisiana St, Houston, TX 77002, USA",1.171916252433563,No Game
2010-01-07,1A10,Theft,commercial parking lot/garage,1.0,14.0,7.0,Thursday,Jan,2010.0,29.7515271,-95.3724089,"750 St Joseph Pkwy, Houston, TX 77002, USA",1.2034754338469833,No Game
2010-01-07,1A10,Theft,commercial parking lot/garage,1.0,15.0,7.0,Thursday,Jan,2010.0,29.75428569999999,-95.3675337,"1350 S Main St, Houston, TX 77002, USA",0.9208341055161963,No Game
2010-01-07,1A10,Theft,department/discount store,1.0,16.0,7.0,Thursday,Jan,2010.0,29.7560402,-95.3663019,"1150 S Main St, Houston, TX 77002, USA",0.8763871001139557,No Game
2010-01-07,1A10,Theft,"gym,recreat,club hse,indr pool,spa",1.0,17.0,7.0,Thursday,Jan,2010.0,29.7536089,-95.3718319,"1650 Louisiana St, Houston, TX 77002, USA",1.171916252433563,No Game
2010-01-07,1A10,Auto Theft,road/street/sidewalk,1.0,21.0,7.0,Thursday,Jan,2010.0,29.7588655,-95.3611744,"1150 Texas St, Houston, TX 77002, USA",0.6991918048581849,No Game
2010-01-07,10H10,Robbery,road/street/sidewalk,1.0,17.0,7.0,Thursday,Jan,2010.0,29.7486223,-95.31849,"Navigation Blvd, Houston, TX, USA",2.052944684996327,No Game
2010-01-07,10H30,Theft,road/street/sidewalk,1.0,21.0,7.0,Thursday,Jan,2010.0,29.7502127,-95.35054699999999,"2550 Rusk St, Houston, TX 77003, USA",0.1764647477586525,No Game
2010-01-08,1A10,Auto Theft,commercial parking lot/garage,1.0,10.0,8.0,Friday,Jan,2010.0,29.7607349,-95.363851,"850 Texas St, Houston, TX 77002, USA",0.9051009346473047,No Game
2010-01-08,1A10,Theft,road/street/sidewalk,1.0,11.0,8.0,Friday,Jan,2010.0,29.7586824,-95.3638659,"750 S Main St, Houston, TX 77002, USA",0.8211095698849666,No Game
2010-01-08,1A10,Theft,office building,1.0,18.0,8.0,Friday,Jan,2010.0,29.7523814,-95.37254329999999,"650 Jefferson St, Houston, TX 77002, USA",1.21071973204882,No Game
2010-01-08,1A10,Theft,road/street/sidewalk,1.0,23.0,8.0,Friday,Jan,2010.0,29.7638315,-95.3601009,"950 Commerce St, Houston, TX 77002, USA",0.9252271045108431,No Game
2010-01-08,10H10,Theft,service/gas station,1.0,18.0,8.0,Friday,Jan,2010.0,29.7525615,-95.3383032,"3350 Canal St, Houston, TX 77003, USA",0.8476127660505035,No Game
2010-01-08,10H30,Theft,other parking lot,1.0,8.0,8.0,Friday,Jan,2010.0,29.7430184,-95.3485319,"3150 Polk St, Houston, TX 77003, USA",0.6737905947004781,No Game
2010-01-08,10H30,Theft,road/street/sidewalk,1.0,16.0,8.0,Friday,Jan,2010.0,29.752323,-95.3538247,"2150 Rusk St, Houston, TX 77003, USA",0.08604561953918878,No Game
2010-01-08,10H30,Theft,bar/night club parking lot,1.0,23.0,8.0,Friday,Jan,2010.0,29.7499994,-95.3558456,"2150 Lamar St, Houston, TX 77003, USA",0.25663341335685735,No Game
2010-01-08,10H30,Theft,bar/night club parking lot,1.0,23.0,8.0,Friday,Jan,2010.0,29.7511977,-95.3561884,"2050 McKinney St, Houston, TX 77003, USA",0.23792809366585296,No Game
2010-01-08,10H30,Theft,bar/night club parking lot,1.0,23.0,8.0,Friday,Jan,2010.0,29.7499994,-95.3558456,"2150 Lamar St, Houston, TX 77003, USA",0.25663341335685735,No Game
2010-01-08,10H30,Theft,bar/night club parking lot,1.0,23.0,8.0,Friday,Jan,2010.0,29.7511977,-95.3561884,"2050 McKinney St, Houston, TX 77003, USA",0.23792809366585296,No Game
2010-01-09,1A10,Theft,bar/night club,1.0,0.0,9.0,Saturday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-09,1A10,Theft,bar/night club,1.0,0.0,9.0,Saturday,Jan,2010.0,29.7633085,-95.3602155,"150 S Main St, Houston, TX 77002, USA",0.8978007737262763,No Game
2010-01-09,1A10,Theft,bar/night club,1.0,1.0,9.0,Saturday,Jan,2010.0,29.764066,-95.3618728,"150 Milam St, Houston, TX 77002, USA",0.9960395109461895,No Game
2010-01-09,1A10,Auto Theft,road/street/sidewalk,1.0,9.0,9.0,Saturday,Jan,2010.0,29.757785,-95.3621323,"750 San Jacinto St, Houston, TX 77002, USA",0.7000773971911779,No Game
2010-01-09,1A10,Theft,commercial parking lot/garage,1.0,15.0,9.0,Saturday,Jan,2010.0,29.7561039,-95.3672729,"1150 Travis St, Houston, TX 77002, USA",0.9334443673413866,No Game
2010-01-09,1A10,Theft,bar/night club,1.0,17.0,9.0,Saturday,Jan,2010.0,29.7364461,-95.3868116,"550 W Main St, Houston, TX 77006, USA",2.3357229177973924,No Game
2010-01-09,1A10,Theft,road/street/sidewalk,1.0,18.0,9.0,Saturday,Jan,2010.0,29.7620558,-95.365319,"550 Louisiana St, Houston, TX 77002, USA",1.0313415411689957,No Game
2010-01-09,1A10,Auto Theft,commercial parking lot/garage,1.0,19.0,9.0,Saturday,Jan,2010.0,29.753193100000004,-95.36325759999998,"1250 Austin St, Houston, TX 77002, USA",0.6561375192518404,No Game
2010-01-09,1A10,Theft,other/unknown,1.0,22.0,9.0,Saturday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-09,1A10,Aggravated Assault,road/street/sidewalk,1.0,22.0,9.0,Saturday,Jan,2010.0,29.7529852,-95.3734437,"550 Jefferson St, Houston, TX 77002, USA",1.2659232259014028,No Game
2010-01-09,10H10,Theft,road/street/sidewalk,1.0,5.0,9.0,Saturday,Jan,2010.0,29.7455501,-95.3331404,"350 Sidney St, Houston, TX 77003, USA",1.2449052732828612,No Game
