,Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,full_address
6395,2015-06-04 17:00:00,10H50,Robbery,light rail platform,1,17,4,Thursday,Jun,2015,29.7273899,-95.3502598,"3250 Scott St, Houston, TX 77004, USA"
6396,2015-06-04 19:00:00,10H50,Aggravated Assault,"multi-plex home (duplex,triplex etc.)",1,19,4,Thursday,Jun,2015,29.728033899999996,-95.348348,"3650 Beulah St, Houston, TX 77004, USA"
6397,2015-06-04 20:00:00,10H50,Robbery,road/street/sidewalk,1,20,4,Thursday,Jun,2015,29.733439100000002,-95.3517003,"3350 McGowen St, Houston, TX 77004, USA"
6398,2015-06-05 08:00:00,10H50,Theft,"parks and recreation, zoo, swimming pool",1,8,5,Friday,Jun,2015,29.734017600000005,-95.3534972,"3250 McGowen St, Houston, TX 77004, USA"
6399,2015-06-05 19:00:00,10H50,Aggravated Assault,residence/house,1,19,5,Friday,Jun,2015,29.727903899999998,-95.36531540000001,"2750 Truxillo St, Houston, TX 77004, USA"
6400,2015-06-06 05:00:00,10H50,Robbery,convenience store parking lot,1,5,6,Saturday,Jun,2015,29.727545000000003,-95.3502156,"3550 Elgin St, Houston, TX 77004, USA"
6401,2015-06-06 09:00:00,10H50,Robbery,convenience store parking lot,1,9,6,Saturday,Jun,2015,29.732199600000005,-95.3591373,"3050 Sauer St, Houston, TX 77004, USA"
6402,2015-06-08 07:00:00,10H50,Theft,residence/house,1,7,8,Monday,Jun,2015,29.736547899999998,-95.3640038,"2350 Tuam St, Houston, TX 77004, USA"
6403,2015-06-08 14:00:00,10H50,Auto Theft,strip business center parking lot,1,14,8,Monday,Jun,2015,29.727875,-95.3628921,"3750 Ennis St, Houston, TX 77004, USA"
6404,2015-06-09 18:00:00,10H50,Theft,"church, synagogue, or temple",1,18,9,Tuesday,Jun,2015,29.7364349,-95.3519703,"3250 Trulley St, Houston, TX 77004, USA"
6405,2015-06-10 04:00:00,10H50,Robbery,bus stop,1,4,10,Wednesday,Jun,2015,29.733079800000002,-95.3518368,"2650 Sampson St, Houston, TX 77004, USA"
6406,2015-06-11 00:00:00,10H50,Robbery,road/street/sidewalk,1,0,11,Thursday,Jun,2015,29.7303717,-95.3587389,"3050 Elgin St, Houston, TX 77004, USA"
6407,2015-06-11 02:00:00,10H50,Murder,residence/house,1,2,11,Thursday,Jun,2015,29.7276429,-95.3580938,"3250 Holman St, Houston, TX 77004, USA"
6408,2015-06-11 09:00:00,10H50,Theft,residence/house,1,9,11,Thursday,Jun,2015,29.72862069999999,-95.3574054,"3250 Simmons St, Houston, TX 77004, USA"
6409,2015-06-11 15:00:00,10H50,Theft,residence/house,1,15,11,Thursday,Jun,2015,29.73028679999999,-95.3531265,"3350 Rosalie St, Houston, TX 77004, USA"
6410,2015-06-11 18:00:00,10H50,Theft,road/street/sidewalk,1,18,11,Thursday,Jun,2015,29.7291985,-95.3519634,"3450 Beulah St, Houston, TX 77004, USA"
6411,2015-06-11 21:00:00,10H50,Theft,residence/house,1,21,11,Thursday,Jun,2015,29.724108100000002,-95.3518238,"3550 Adair St, Houston, TX 77004, USA"
6412,2015-06-12 13:00:00,10H50,Theft,office building,1,13,12,Friday,Jun,2015,29.7292663,-95.3668931,"3850 Live Oak St, Houston, TX 77004, USA"
6413,2015-06-13 15:00:00,10H50,Aggravated Assault,road/street/sidewalk,2,15,13,Saturday,Jun,2015,29.7250555,-95.354887,"3550 Sampson St, Houston, TX 77004, USA"
6414,2015-06-14 16:00:00,10H50,Theft,residence/house,1,16,14,Sunday,Jun,2015,29.726675699999998,-95.3647616,"2850 Isabella St, Houston, TX 77004, USA"
6415,2015-06-15 13:00:00,10H50,Theft,no label,1,13,15,Monday,Jun,2015,29.729650399999997,-95.3500537,"3050 Scott St, Houston, TX 77004, USA"
6416,2015-06-16 08:00:00,10H50,Theft,residence/house,1,8,16,Tuesday,Jun,2015,29.733368699999996,-95.34906579999999,"3450 Bremond St, Houston, TX 77004, USA"
6417,2015-06-16 10:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,10,16,Tuesday,Jun,2015,29.7259891,-95.35891059999999,"3750 Burkett St, Houston, TX 77004, USA"
6418,2015-06-17 13:00:00,10H50,Theft,convenience store parking lot,1,13,17,Wednesday,Jun,2015,29.729650399999997,-95.3500537,"3050 Scott St, Houston, TX 77004, USA"
6419,2015-06-17 17:00:00,10H50,Theft,"multi-plex home (duplex,triplex etc.)",1,17,17,Wednesday,Jun,2015,29.7293239,-95.3692283,"2350 Isabella St, Houston, TX 77004, USA"
6420,2015-06-17 19:00:00,10H50,Theft,convenience store,1,19,17,Wednesday,Jun,2015,29.7303717,-95.3587389,"3050 Elgin St, Houston, TX 77004, USA"
6421,2015-06-17 19:00:00,10H50,Theft,convenience store,1,19,17,Wednesday,Jun,2015,29.73607149999999,-95.3588825,"2750 McGowen St, Houston, TX 77004, USA"
6422,2015-06-17 19:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,19,17,Wednesday,Jun,2015,29.7303717,-95.3587389,"3050 Elgin St, Houston, TX 77004, USA"
6423,2015-06-17 19:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,19,17,Wednesday,Jun,2015,29.73607149999999,-95.3588825,"2750 McGowen St, Houston, TX 77004, USA"
6424,2015-06-17 23:00:00,10H50,Robbery,light rail platform,1,23,17,Wednesday,Jun,2015,29.7273899,-95.3502598,"3250 Scott St, Houston, TX 77004, USA"
6425,2015-06-18 08:00:00,10H50,Theft,apartment,1,8,18,Thursday,Jun,2015,29.726190999999996,-95.3625313,"3050 Truxillo St, Houston, TX 77004, USA"
