Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,block,address,tup_add
2015-07-22 23:00:00,10H30,2400-2499,WALKER,Theft,road/street/sidewalk,3,23,22,Wednesday,Jul,2015,2450,2450 WALKER,"((29.7504628, -95.3523431), '2450 Walker St, Houston, TX 77003, USA')"
2015-07-23 11:00:00,10H30,2700-2799,CLAY,Theft,road/street/sidewalk,1,11,23,Thursday,Jul,2015,2750,2750 CLAY,"((29.7444096, -95.3523431), '2750 Clay St, Houston, TX 77003, USA')"
2015-07-23 14:00:00,10H30,1500-1599,PAIGE,Burglary,residence/house,1,14,23,Thursday,Jul,2015,1550,1550 PAIGE,"((29.7428734, -95.3522813), '1550 Paige St, Houston, TX 77003, USA')"
2015-07-24 16:00:00,10H30,1700-1799,DELANO,Aggravated Assault,road/street/sidewalk,1,16,24,Friday,Jul,2015,1750,1750 DELANO,"((29.7418388, -95.3547019), '1750 Delano St, Houston, TX 77003, USA')"
2015-07-24 19:00:00,10H30,2000-2099,WALKER,Theft,bar or night club,1,19,24,Friday,Jul,2015,2050,2050 WALKER,"((29.75201419999999, -95.3552677), '2050 Walker St, Houston, TX 77003, USA')"
2015-07-25 00:00:00,10H30,2300-2399,PRESTON,Auto Theft,no label,1,0,25,Saturday,Jul,2015,2350,2350 PRESTON,"((29.7545129, -95.349772), '2350 Preston St, Houston, TX 77003, USA')"
2015-07-25 10:00:00,10H30,2800-2899,DALLAS,Theft,road/street/sidewalk,1,10,25,Saturday,Jul,2015,2850,2850 DALLAS,"((29.7458994, -95.3502408), '2850 Dallas St, Houston, TX 77003, USA')"
2015-07-25 12:00:00,10H30,1100-1199,SAINT CHARLES,Theft,road/street/sidewalk,1,12,25,Saturday,Jul,2015,1150,1150 SAINT CHARLES,"((29.7480399, -95.3533266), '1150 St Charles St, Houston, TX 77003, USA')"
2015-07-25 22:00:00,10H30,1200-1299,NAGLE,Theft,no label,1,22,25,Saturday,Jul,2015,1250,1250 NAGLE,"((29.7463979, -95.35200209999999), '1250 Nagle St, Houston, TX 77003, USA')"
2015-07-26 00:00:00,10H30,1100-1199,HUTCHINS,Theft,road/street/sidewalk,1,0,26,Sunday,Jul,2015,1150,1150 HUTCHINS,"((29.74973889999999, -95.35571139999999), '1150 Hutchins St, Houston, TX 77003, USA')"
2015-07-26 04:00:00,10H30,2000-2099,LEELAND,Aggravated Assault,road/street/sidewalk,1,4,26,Sunday,Jul,2015,2050,2050 LEELAND,"((29.7466075, -95.3593348), '2050 Leeland St, Houston, TX 77003, USA')"
2015-07-26 07:00:00,10H30,400-499,DOWLING,Theft,commercial parking lot or garage,1,7,26,Sunday,Jul,2015,450,450 DOWLING,"((29.753877, -95.3496449), '450 Emancipation Ave, Houston, TX 77003, USA')"
2015-07-27 14:00:00,10H30,1500-1599,SCOTT,Theft,light rail (metro rail) vehicle,1,14,27,Monday,Jul,2015,1550,1550 SCOTT,"((29.7395817, -95.34605239999999), '1550 Scott St, Houston, TX 77003, USA')"
2015-07-27 15:00:00,10H30,1000-1099,LIVE OAK,Theft,road/street/sidewalk,1,15,27,Monday,Jul,2015,1050,1050 LIVE OAK,"((29.7482611, -95.3518813), '1050 Live Oak St, Houston, TX 77003, USA')"
2015-07-28 11:00:00,10H30,1800-1899,CHARTRES,Burglary,construction site,1,11,28,Tuesday,Jul,2015,1850,1850 CHARTRES,"((29.7454524, -95.3613768), '1850 Chartres St, Houston, TX 77003, USA')"
2015-07-28 15:00:00,10H30,3000-3099,POLK,Auto Theft,other parking lot,1,15,28,Tuesday,Jul,2015,3050,3050 POLK,"((29.7436993, -95.349361), '3050 Polk St, Houston, TX 77003, USA')"
2015-07-28 18:00:00,10H30,2100-2199,PEASE,Theft,other parking lot,1,18,28,Tuesday,Jul,2015,2150,2150 PEASE,"((29.745436, -95.35910989999999), '2150 Pease St, Houston, TX 77003, USA')"
2015-07-28 20:00:00,10H30,2900-2999,DALLAS,Theft,apartment parking lot,1,20,28,Tuesday,Jul,2015,2950,2950 DALLAS,"((29.7453904, -95.34938570000001), '2950 Dallas St, Houston, TX 77003, USA')"
2015-07-29 12:00:00,10H30,800-899,DELANO,Theft,construction site,1,12,29,Wednesday,Jul,2015,850,850 DELANO,"((29.7486069, -95.3487529), '850 Delano St, Houston, TX 77003, USA')"
2015-07-29 17:00:00,10H30,1800-1899,MILBY,Theft,other parking lot,1,17,29,Wednesday,Jul,2015,1850,1850 MILBY,"((29.736935, -95.34435789999999), '1850 Milby St, Houston, TX 77003, USA')"
2015-07-30 18:00:00,10H30,3500-3599,GULF,Theft,convenience store,1,18,30,Thursday,Jul,2015,3550,3550 GULF,"((29.6961263, -95.28912539999999), '3550 Gulf Fwy, Houston, TX 77087, USA')"
2015-07-31 12:00:00,10H30,2600-2699,GULF,Burglary,commercial building,1,12,31,Friday,Jul,2015,2650,2650 GULF,"((29.6957595, -95.2900853), '2650 Gulf Fwy, Houston, TX 77087, USA')"
2015-07-31 18:00:00,10H30,2100-2199,MCKINNEY,Theft,road/street/sidewalk,1,18,31,Friday,Jul,2015,2150,2150 MCKINNEY,"((29.7509896, -95.3550532), '2150 McKinney St, Houston, TX 77003, USA')"
2015-08-01 10:00:00,10H30,400-499,DOWLING,Theft,vehicle/auto sales/lease/auto parts store,1,10,1,Saturday,Aug,2015,450,450 DOWLING,"((29.753877, -95.3496449), '450 Emancipation Ave, Houston, TX 77003, USA')"
2015-08-01 10:00:00,10H30,1100-1199,SAINT EMANUEL,Theft,road/street/sidewalk,1,10,1,Saturday,Aug,2015,1150,1150 SAINT EMANUEL,"((29.7501373, -95.3563816), '1150 St Emanuel St, Houston, TX 77003, USA')"
2015-08-01 11:00:00,10H30,800-899,SAINT EMANUEL,Theft,"other, unknown, or not listed",1,11,1,Saturday,Aug,2015,850,850 SAINT EMANUEL,"((29.7524653, -95.35478769999999), '850 St Emanuel St, Houston, TX 77003, USA')"
2015-08-01 15:00:00,10H30,2000-2099,LEELAND,Theft,road/street/sidewalk,1,15,1,Saturday,Aug,2015,2050,2050 LEELAND,"((29.7466075, -95.3593348), '2050 Leeland St, Houston, TX 77003, USA')"
2015-08-01 16:00:00,10H30,2200-2299,PRESTON,Aggravated Assault,"stadium, sports arena, race track",1,16,1,Saturday,Aug,2015,2250,2250 PRESTON,"((29.7550432, -95.3506148), '2250 Preston St, Houston, TX 77003, USA')"
2015-08-01 17:00:00,10H30,2000-2099,LEELAND,Theft,bar or night club,1,17,1,Saturday,Aug,2015,2050,2050 LEELAND,"((29.7466075, -95.3593348), '2050 Leeland St, Houston, TX 77003, USA')"
2015-08-01 23:00:00,10H30,2300-2399,PEASE,Aggravated Assault,convenience store parking lot,1,23,1,Saturday,Aug,2015,2350,2350 PEASE,"((29.7442227, -95.35780989999999), '2350 Pease St, Houston, TX 77003, USA')"
2015-08-02 04:00:00,10H30,2200-2299,BELL,Theft,road/street/sidewalk,1,4,2,Sunday,Aug,2015,2250,2250 BELL,"((29.7467906, -95.3572403), '2250 Bell St, Houston, TX 77003, USA')"
