Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat_lon,full_address
2010-01-24 21:00:00,10H80,Theft,road/street/sidewalk,1,21,24,Sunday,Jan,2010,"(29.725768, -95.41684599999999)","2450 Bissonnet St, Houston, TX 77005, USA"
2010-01-24 21:00:00,10H80,Theft,road/street/sidewalk,1,21,24,Sunday,Jan,2010,"(29.748146, -95.6267142)","1950 Eldridge Pkwy, Houston, TX 77077, USA"
2010-01-26 15:00:00,10H80,Burglary,residence/house,1,15,26,Tuesday,Jan,2010,"(29.7604267, -95.3698028)","Houston, TX, USA"
2010-01-26 15:00:00,10H80,Burglary,residence/house,1,15,26,Tuesday,Jan,2010,"(29.7604267, -95.3698028)","Houston, TX, USA"
2010-01-26 15:00:00,10H80,Burglary,residence/house,1,15,26,Tuesday,Jan,2010,"(29.7604267, -95.3698028)","Houston, TX, USA"
2010-01-26 15:00:00,10H80,Burglary,residence/house,1,15,26,Tuesday,Jan,2010,"(29.7604267, -95.3698028)","Houston, TX, USA"
2010-01-27 18:00:00,10H80,Theft,apartment parking lot,1,18,27,Wednesday,Jan,2010,"(29.7278707, -95.3915529)","5050 Montrose Blvd, Houston, TX 77006, USA"
2010-01-27 22:00:00,10H80,Theft,apartment parking lot,1,22,27,Wednesday,Jan,2010,"(29.7278707, -95.3915529)","5050 Montrose Blvd, Houston, TX 77006, USA"
2010-01-28 00:00:00,10H80,Theft,bar/night club,1,0,28,Thursday,Jan,2010,"(29.7154534, -95.4176237)","2550 University Blvd, Houston, TX 77005, USA"
2010-01-28 02:00:00,10H80,Aggravated Assault,road/street/sidewalk,1,2,28,Thursday,Jan,2010,"(29.71538, -95.4187652)","6250 Kirby Dr, Houston, TX 77098, USA"
2010-01-29 18:00:00,10H80,Theft,apartment parking lot,1,18,29,Friday,Jan,2010,"(29.703721, -95.41093289999999)","2250 Maroneal St, Houston, TX 77030, USA"
2010-02-01 10:00:00,10H80,Burglary,residence/house,1,10,1,Monday,Feb,2010,"(29.7087659, -95.40727)","2050 McClendon St, Houston, TX 77030, USA"
2010-02-02 00:00:00,10H80,Theft,apartment parking lot,1,0,2,Tuesday,Feb,2010,"(29.703721, -95.41093289999999)","2250 Maroneal St, Houston, TX 77030, USA"
2010-02-02 07:00:00,10H80,Robbery,restaurant/cafeteria,1,7,2,Tuesday,Feb,2010,"(29.7191105, -95.41779230000002)","5850 Kirby Dr, Houston, TX 77098, USA"
2010-02-02 17:00:00,10H80,Theft,road/street/sidewalk,1,17,2,Tuesday,Feb,2010,"(29.7208455, -95.4152277)","5050 Morningside Dr, Houston, TX 77005, USA"
2010-02-02 20:00:00,10H80,Burglary,garage/carport,1,20,2,Tuesday,Feb,2010,"(29.7299826, -95.3965819)","1350 Banks St, Houston, TX 77006, USA"
2010-02-03 08:00:00,10H80,Burglary,"multi-plex hme(duplex,triplex etc)",1,8,3,Wednesday,Feb,2010,"(29.7308748, -95.3876732)","750 Rosedale St, Houston, TX 77006, USA"
2010-02-04 01:00:00,10H80,Theft,bar/night club,1,1,4,Thursday,Feb,2010,"(29.7154534, -95.4176237)","2550 University Blvd, Houston, TX 77005, USA"
2010-02-04 11:00:00,10H80,Burglary,residence/house,1,11,4,Thursday,Feb,2010,"(29.7306172, -95.3872494)","850 Rosedale St, Houston, TX 77006, USA"
2010-02-04 16:00:00,10H80,Theft,clothing store,1,16,4,Thursday,Feb,2010,"(29.725768, -95.41684599999999)","2450 Bissonnet St, Houston, TX 77005, USA"
2010-02-05 15:00:00,10H80,Theft,clothing store,1,15,5,Friday,Feb,2010,"(29.7163218, -95.41666670000001)","5550 Kelvin Dr, Houston, TX 77005, USA"
2010-02-05 19:00:00,10H80,Theft,specialty store (non-specific),1,19,5,Friday,Feb,2010,"(29.7160356, -95.4180427)","2550 Amherst St, Houston, TX 77005, USA"
2010-02-06 01:00:00,10H80,Theft,restaurant/cafeteria,1,1,6,Saturday,Feb,2010,"(29.6735254, -95.41780539999999)","2550 W Bellfort Blvd, Houston, TX 77054, USA"
2010-02-06 10:00:00,10H80,Theft,hotel/motel parking lot,1,10,6,Saturday,Feb,2010,"(29.7245639, -95.39145470000001)","5750 S Main St, Houston, TX 77005, USA"
2010-02-06 14:00:00,10H80,Theft,department/discount store,1,14,6,Saturday,Feb,2010,"(29.7163218, -95.41666670000001)","5550 Kelvin Dr, Houston, TX 77005, USA"
2010-02-07 00:00:00,10H80,Theft,apartment parking lot,1,0,7,Sunday,Feb,2010,"(29.7303358, -95.3945796)","1250 Banks St, Houston, TX 77006, USA"
2010-02-07 01:00:00,10H80,Theft,road/street/sidewalk,1,1,7,Sunday,Feb,2010,"(29.7298033, -95.4041898)","1750 Banks St, Houston, TX 77098, USA"
2010-02-07 18:00:00,10H80,Burglary,residence/house,1,18,7,Sunday,Feb,2010,"(29.7233048, -95.41033999999999)","2150 Sunset Blvd, Houston, TX 77005, USA"
