date,sum_crimes,weekday,month,mode_hr,game,seasons
2014-11-10,8,Monday,Nov,14,No Game,No game
2014-11-11,8,Tuesday,Nov,6,No Game,No game
2014-11-12,7,Wednesday,Nov,14,No Game,No game
2014-11-13,3,Thursday,Nov,8,No Game,No game
2014-11-14,9,Friday,Nov,0,No Game,No game
2014-11-15,15,Saturday,Nov,2,No Game,No game
2014-11-16,4,Sunday,Nov,9,No Game,No game
2014-11-17,7,Monday,Nov,15,No Game,No game
2014-11-18,6,Tuesday,Nov,16,No Game,No game
2014-11-19,8,Wednesday,Nov,23,No Game,No game
2014-11-20,13,Thursday,Nov,10,No Game,No game
2014-11-21,10,Friday,Nov,2,No Game,No game
2014-11-22,7,Saturday,Nov,21,No Game,No game
2014-11-23,6,Sunday,Nov,4,No Game,No game
2014-11-24,9,Monday,Nov,11,No Game,No game
2014-11-25,7,Tuesday,Nov,8,No Game,No game
2014-11-26,5,Wednesday,Nov,23,No Game,No game
2014-11-27,4,Thursday,Nov,3,No Game,No game
2014-11-28,12,Friday,Nov,11,No Game,No game
2014-11-29,8,Saturday,Nov,2,No Game,No game
2014-11-30,13,Sunday,Nov,13,No Game,No game
2014-12-01,8,Monday,Dec,12,No Game,No game
2014-12-02,2,Tuesday,Dec,0,No Game,No game
2014-12-03,3,Wednesday,Dec,7,No Game,No game
2014-12-04,6,Thursday,Dec,5,No Game,No game
2014-12-05,11,Friday,Dec,17,No Game,No game
2014-12-06,14,Saturday,Dec,13,No Game,No game
2014-12-07,5,Sunday,Dec,15,No Game,No game
2014-12-08,7,Monday,Dec,6,No Game,No game
2014-12-09,1,Tuesday,Dec,11,No Game,No game
2014-12-10,7,Wednesday,Dec,0,No Game,No game
2014-12-11,10,Thursday,Dec,21,No Game,No game
2014-12-12,6,Friday,Dec,7,No Game,No game
2014-12-13,9,Saturday,Dec,17,No Game,No game
2014-12-14,6,Sunday,Dec,14,No Game,No game
2014-12-15,12,Monday,Dec,1,No Game,No game
2014-12-16,7,Tuesday,Dec,6,No Game,No game
2014-12-17,2,Wednesday,Dec,10,No Game,No game
2014-12-18,6,Thursday,Dec,1,No Game,No game
2014-12-19,9,Friday,Dec,0,No Game,No game
2014-12-20,9,Saturday,Dec,17,No Game,No game
2014-12-21,7,Sunday,Dec,9,No Game,No game
2014-12-22,2,Monday,Dec,0,No Game,No game
2014-12-23,10,Tuesday,Dec,17,No Game,No game
2014-12-24,7,Wednesday,Dec,11,No Game,No game
2014-12-25,3,Thursday,Dec,14,No Game,No game
2014-12-26,7,Friday,Dec,21,No Game,No game
2014-12-27,8,Saturday,Dec,23,No Game,No game
2014-12-28,5,Sunday,Dec,5,No Game,No game
2014-12-29,8,Monday,Dec,13,No Game,No game
2014-12-30,1,Tuesday,Dec,7,No Game,No game
2014-12-31,6,Wednesday,Dec,5,No Game,No game
2015-01-01,14,Thursday,Jan,16,No Game,No game
2015-01-02,5,Friday,Jan,2,No Game,No game
2015-01-03,9,Saturday,Jan,20,No Game,No game
2015-01-04,4,Sunday,Jan,14,No Game,No game
2015-01-05,7,Monday,Jan,1,No Game,No game
2015-01-06,4,Tuesday,Jan,10,No Game,No game
2015-01-07,5,Wednesday,Jan,0,No Game,No game
2015-01-08,7,Thursday,Jan,10,No Game,No game
2015-01-09,6,Friday,Jan,18,No Game,No game
2015-01-10,8,Saturday,Jan,9,No Game,No game
2015-01-11,4,Sunday,Jan,2,No Game,No game
2015-01-12,5,Monday,Jan,8,No Game,No game
2015-01-13,9,Tuesday,Jan,13,No Game,No game
2015-01-14,3,Wednesday,Jan,14,No Game,No game
2015-01-15,10,Thursday,Jan,0,No Game,No game
2015-01-16,10,Friday,Jan,17,No Game,No game
2015-01-17,11,Saturday,Jan,21,No Game,No game
2015-01-18,9,Sunday,Jan,16,No Game,No game
2015-01-19,4,Monday,Jan,1,No Game,No game
2015-01-20,8,Tuesday,Jan,14,No Game,No game
2015-01-21,10,Wednesday,Jan,14,No Game,No game
2015-01-22,4,Thursday,Jan,0,No Game,No game
2015-01-23,8,Friday,Jan,19,No Game,No game
2015-01-24,11,Saturday,Jan,3,No Game,No game
2015-01-25,4,Sunday,Jan,6,No Game,No game
2015-01-26,13,Monday,Jan,22,No Game,No game
2015-01-27,5,Tuesday,Jan,14,No Game,No game
2015-01-28,5,Wednesday,Jan,7,No Game,No game
2015-01-29,4,Thursday,Jan,16,No Game,No game
2015-01-30,11,Friday,Jan,12,No Game,No game
2015-01-31,8,Saturday,Jan,0,No Game,No game
2015-02-01,8,Sunday,Feb,11,No Game,No game
2015-02-02,8,Monday,Feb,11,No Game,No game
2015-02-03,4,Tuesday,Feb,6,No Game,No game
2015-02-04,4,Wednesday,Feb,21,No Game,No game
2015-02-05,6,Thursday,Feb,9,No Game,No game
2015-02-06,7,Friday,Feb,14,No Game,No game
2015-02-07,15,Saturday,Feb,15,No Game,No game
2015-02-08,8,Sunday,Feb,2,No Game,No game
2015-02-09,11,Monday,Feb,16,No Game,No game
2015-02-10,6,Tuesday,Feb,9,No Game,No game
2015-02-11,7,Wednesday,Feb,23,No Game,No game
2015-02-12,9,Thursday,Feb,10,No Game,No game
2015-02-13,7,Friday,Feb,14,No Game,No game
2015-02-14,9,Saturday,Feb,9,No Game,No game
2015-02-15,4,Sunday,Feb,3,No Game,No game
2015-02-16,4,Monday,Feb,7,No Game,No game
2015-02-17,9,Tuesday,Feb,10,No Game,No game
2015-02-18,9,Wednesday,Feb,7,No Game,No game
2015-02-19,11,Thursday,Feb,8,No Game,No game
2015-02-20,6,Friday,Feb,8,No Game,No game
2015-02-21,5,Saturday,Feb,10,No Game,No game
2015-02-22,8,Sunday,Feb,1,No Game,No game
2015-02-23,6,Monday,Feb,0,No Game,No game
2015-02-24,2,Tuesday,Feb,6,No Game,No game
2015-02-25,7,Wednesday,Feb,8,No Game,No game
2015-02-26,7,Thursday,Feb,12,No Game,No game
2015-02-27,7,Friday,Feb,14,No Game,No game
2015-02-28,3,Saturday,Feb,14,No Game,No game
2015-03-01,7,Sunday,Mar,15,No Game,No game
2015-03-02,10,Monday,Mar,19,No Game,No game
2015-03-03,8,Tuesday,Mar,8,No Game,No game
2015-03-04,8,Wednesday,Mar,11,No Game,No game
2015-03-05,7,Thursday,Mar,15,No Game,No game
2015-03-06,10,Friday,Mar,6,No Game,No game
2015-03-07,13,Saturday,Mar,10,No Game,No game
2015-03-08,12,Sunday,Mar,0,No Game,No game
2015-03-09,5,Monday,Mar,12,No Game,No game
2015-03-10,11,Tuesday,Mar,9,No Game,No game
2015-03-11,12,Wednesday,Mar,0,No Game,No game
2015-03-12,8,Thursday,Mar,0,No Game,No game
2015-03-13,8,Friday,Mar,6,No Game,No game
2015-03-14,10,Saturday,Mar,8,No Game,No game
2015-03-15,18,Sunday,Mar,18,No Game,No game
2015-03-16,5,Monday,Mar,4,No Game,No game
2015-03-17,8,Tuesday,Mar,7,No Game,No game
2015-03-18,9,Wednesday,Mar,0,No Game,No game
2015-03-19,7,Thursday,Mar,19,No Game,No game
2015-03-20,3,Friday,Mar,1,No Game,No game
2015-03-21,9,Saturday,Mar,5,No Game,No game
2015-03-22,12,Sunday,Mar,20,No Game,No game
2015-03-23,5,Monday,Mar,11,No Game,No game
2015-03-24,5,Tuesday,Mar,5,No Game,No game
2015-03-25,12,Wednesday,Mar,18,No Game,No game
2015-03-26,3,Thursday,Mar,20,No Game,No game
2015-03-27,7,Friday,Mar,3,No Game,No game
2015-03-28,22,Saturday,Mar,21,No Game,No game
2015-03-29,8,Sunday,Mar,0,No Game,No game
2015-03-30,8,Monday,Mar,13,No Game,No game
2015-03-31,3,Tuesday,Mar,16,No Game,No game
2015-04-01,6,Wednesday,Apr,7,No Game,No game
2015-04-02,6,Thursday,Apr,9,No Game,No game
2015-04-03,4,Friday,Apr,18,No Game,No game
2015-04-04,11,Saturday,Apr,17,No Game,No game
2015-04-05,5,Sunday,Apr,5,No Game,No game
2015-04-06,8,Monday,Apr,11,Won Game,Regular
2015-04-07,11,Tuesday,Apr,13,No Game,No game
2015-04-08,9,Wednesday,Apr,7,Lost Game,Regular
2015-04-09,7,Thursday,Apr,1,Lost Game,Regular
2015-04-10,5,Friday,Apr,23,No Game,No game
2015-04-11,8,Saturday,Apr,1,No Game,No game
2015-04-12,9,Sunday,Apr,16,No Game,No game
2015-04-13,5,Monday,Apr,17,Lost Game,Regular
2015-04-14,9,Tuesday,Apr,14,Lost Game,Regular
2015-04-15,8,Wednesday,Apr,22,Won Game,Regular
2015-04-16,7,Thursday,Apr,18,No Game,No game
2015-04-17,12,Friday,Apr,23,Lost Game,Regular
2015-04-18,5,Saturday,Apr,5,Won Game,Regular
2015-04-19,12,Sunday,Apr,16,Won Game,Regular
2015-04-20,6,Monday,Apr,11,No Game,No game
2015-04-21,6,Tuesday,Apr,13,No Game,No game
2015-04-22,7,Wednesday,Apr,13,No Game,No game
2015-04-23,6,Thursday,Apr,13,No Game,No game
2015-04-24,6,Friday,Apr,10,No Game,No game
2015-04-25,8,Saturday,Apr,11,No Game,No game
2015-04-26,5,Sunday,Apr,0,No Game,No game
2015-04-27,6,Monday,Apr,13,No Game,No game
2015-04-28,9,Tuesday,Apr,22,No Game,No game
2015-04-29,5,Wednesday,Apr,11,No Game,No game
2015-04-30,4,Thursday,Apr,11,Won Game,Regular
2015-05-01,10,Friday,May,7,Won Game,Regular
2015-05-02,11,Saturday,May,13,Won Game,Regular
2015-05-03,8,Sunday,May,14,Won Game,Regular
2015-05-04,9,Monday,May,9,Lost Game,Regular
2015-05-05,16,Tuesday,May,22,Lost Game,Regular
2015-05-06,11,Wednesday,May,0,Lost Game,Regular
2015-05-07,6,Thursday,May,9,No Game,No game
2015-05-08,6,Friday,May,1,No Game,No game
2015-05-09,8,Saturday,May,11,No Game,No game
2015-05-10,9,Sunday,May,9,No Game,No game
2015-05-11,4,Monday,May,8,No Game,No game
2015-05-12,14,Tuesday,May,17,Lost Game,Regular
2015-05-13,5,Wednesday,May,6,Won Game,Regular
2015-05-14,5,Thursday,May,20,Won Game,Regular
2015-05-15,4,Friday,May,0,Won Game,Regular
2015-05-16,9,Saturday,May,22,Won Game,Regular
2015-05-17,9,Sunday,May,9,Won Game,Regular
2015-05-18,7,Monday,May,0,Lost Game,Regular
2015-05-19,6,Tuesday,May,3,Won Game,Regular
2015-05-20,4,Wednesday,May,7,Won Game,Regular
2015-05-21,13,Thursday,May,11,No Game,No game
2015-05-22,17,Friday,May,23,No Game,No game
2015-05-23,16,Saturday,May,6,No Game,No game
2015-05-24,7,Sunday,May,13,No Game,No game
2015-05-25,9,Monday,May,11,No Game,No game
2015-05-26,10,Tuesday,May,10,No Game,No game
2015-05-27,5,Wednesday,May,9,No Game,No game
2015-05-28,5,Thursday,May,13,No Game,No game
2015-05-29,10,Friday,May,10,Lost Game,Regular
2015-05-30,6,Saturday,May,18,Won Game,Regular
2015-05-31,8,Sunday,May,9,Lost Game,Regular
2015-06-01,8,Monday,Jun,13,Won Game,Regular
2015-06-02,11,Tuesday,Jun,0,Won Game,Regular
2015-06-03,9,Wednesday,Jun,23,Won Game,Regular
2015-06-04,2,Thursday,Jun,7,Lost Game,Regular
2015-06-05,9,Friday,Jun,2,No Game,No game
2015-06-06,16,Saturday,Jun,9,No Game,No game
2015-06-07,11,Sunday,Jun,14,No Game,No game
2015-06-08,6,Monday,Jun,18,No Game,No game
2015-06-09,6,Tuesday,Jun,6,No Game,No game
2015-06-10,7,Wednesday,Jun,11,No Game,No game
2015-06-11,2,Thursday,Jun,8,No Game,No game
2015-06-12,7,Friday,Jun,9,Won Game,Regular
2015-06-13,9,Saturday,Jun,12,Lost Game,Regular
2015-06-14,12,Sunday,Jun,9,Won Game,Regular
2015-06-15,11,Monday,Jun,22,Won Game,Regular
2015-06-16,10,Tuesday,Jun,11,Won Game,Regular
2015-06-17,14,Wednesday,Jun,0,No Game,No game
2015-06-18,11,Thursday,Jun,15,No Game,No game
2015-06-19,9,Friday,Jun,7,No Game,No game
2015-06-20,18,Saturday,Jun,8,No Game,No game
2015-06-21,12,Sunday,Jun,1,No Game,No game
2015-06-22,9,Monday,Jun,7,No Game,No game
2015-06-23,2,Tuesday,Jun,7,No Game,No game
2015-06-24,10,Wednesday,Jun,3,No Game,No game
2015-06-25,5,Thursday,Jun,14,Won Game,Regular
2015-06-26,16,Friday,Jun,14,Lost Game,Regular
2015-06-27,10,Saturday,Jun,9,Lost Game,Regular
2015-06-28,7,Sunday,Jun,15,Won Game,Regular
2015-06-29,6,Monday,Jun,7,Won Game,Regular
2015-06-30,3,Tuesday,Jun,9,Won Game,Regular
2015-07-01,9,Wednesday,Jul,18,Won Game,Regular
2015-07-02,8,Thursday,Jul,5,No Game,No game
2015-07-03,11,Friday,Jul,6,No Game,No game
2015-07-04,9,Saturday,Jul,13,No Game,No game
2015-07-05,6,Sunday,Jul,4,No Game,No game
2015-07-06,10,Monday,Jul,16,No Game,No game
2015-07-07,3,Tuesday,Jul,1,No Game,No game
2015-07-08,6,Wednesday,Jul,0,No Game,No game
2015-07-09,7,Thursday,Jul,11,No Game,No game
2015-07-10,6,Friday,Jul,22,No Game,No game
2015-07-11,9,Saturday,Jul,18,No Game,No game
2015-07-12,9,Sunday,Jul,12,No Game,No game
2015-07-13,6,Monday,Jul,1,No Game,No game
2015-07-14,5,Tuesday,Jul,14,No Game,No game
2015-07-15,5,Wednesday,Jul,3,No Game,No game
2015-07-16,10,Thursday,Jul,14,No Game,No game
2015-07-17,9,Friday,Jul,21,Won Game,Regular
2015-07-18,13,Saturday,Jul,1,Lost Game,Regular
2015-07-19,13,Sunday,Jul,10,Won Game,Regular
2015-07-20,7,Monday,Jul,3,No Game,No game
2015-07-21,9,Tuesday,Jul,1,Won Game,Regular
2015-07-22,11,Wednesday,Jul,14,Won Game,Regular
2015-07-23,11,Thursday,Jul,10,Won Game,Regular
2015-07-24,5,Friday,Jul,0,No Game,No game
2015-07-25,15,Saturday,Jul,10,No Game,No game
2015-07-26,7,Sunday,Jul,10,No Game,No game
2015-07-27,5,Monday,Jul,1,No Game,No game
2015-07-28,9,Tuesday,Jul,15,Won Game,Regular
2015-07-29,10,Wednesday,Jul,10,Won Game,Regular
2015-07-30,5,Thursday,Jul,12,Won Game,Regular
2015-07-31,12,Friday,Jul,12,Lost Game,Regular
2015-08-01,18,Saturday,Aug,10,Won Game,Regular
2015-08-02,10,Sunday,Aug,4,Won Game,Regular
2015-08-03,3,Monday,Aug,4,No Game,No game
2015-08-04,10,Tuesday,Aug,14,No Game,No game
2015-08-05,15,Wednesday,Aug,18,No Game,No game
2015-08-06,4,Thursday,Aug,6,No Game,No game
2015-08-07,5,Friday,Aug,14,No Game,No game
2015-08-08,4,Saturday,Aug,6,No Game,No game
2015-08-09,6,Sunday,Aug,12,No Game,No game
2015-08-10,5,Monday,Aug,12,No Game,No game
2015-08-11,4,Tuesday,Aug,0,No Game,No game
2015-08-12,7,Wednesday,Aug,5,No Game,No game
2015-08-13,9,Thursday,Aug,0,No Game,No game
2015-08-14,13,Friday,Aug,8,Won Game,Regular
2015-08-15,7,Saturday,Aug,3,Lost Game,Regular
2015-08-16,6,Sunday,Aug,14,Won Game,Regular
2015-08-17,10,Monday,Aug,21,Lost Game,Regular
2015-08-18,5,Tuesday,Aug,15,Won Game,Regular
2015-08-19,10,Wednesday,Aug,16,Won Game,Regular
2015-08-20,9,Thursday,Aug,7,Lost Game,Regular
2015-08-21,13,Friday,Aug,21,Won Game,Regular
2015-08-22,4,Saturday,Aug,8,Won Game,Regular
2015-08-23,7,Sunday,Aug,3,Won Game,Regular
2015-08-24,5,Monday,Aug,9,No Game,No game
2015-08-25,5,Tuesday,Aug,12,No Game,No game
2015-08-26,7,Wednesday,Aug,2,No Game,No game
2015-08-27,5,Thursday,Aug,5,No Game,No game
2015-08-28,14,Friday,Aug,15,No Game,No game
2015-08-29,8,Saturday,Aug,2,No Game,No game
2015-08-30,6,Sunday,Aug,18,No Game,No game
2015-08-31,11,Monday,Aug,9,Won Game,Regular
2015-09-01,8,Tuesday,Sep,11,Lost Game,Regular
2015-09-02,7,Wednesday,Sep,10,Lost Game,Regular
2015-09-03,9,Thursday,Sep,1,No Game,No game
2015-09-04,6,Friday,Sep,0,Won Game,Regular
2015-09-05,9,Saturday,Sep,3,Lost Game,Regular
2015-09-06,7,Sunday,Sep,11,Won Game,Regular
2015-09-07,4,Monday,Sep,19,No Game,No game
2015-09-08,5,Tuesday,Sep,9,No Game,No game
2015-09-09,19,Wednesday,Sep,23,No Game,No game
2015-09-10,6,Thursday,Sep,1,No Game,No game
2015-09-11,6,Friday,Sep,10,No Game,No game
2015-09-12,6,Saturday,Sep,8,No Game,No game
2015-09-13,4,Sunday,Sep,9,No Game,No game
2015-09-14,5,Monday,Sep,19,No Game,No game
2015-09-15,3,Tuesday,Sep,8,No Game,No game
2015-09-16,3,Wednesday,Sep,9,No Game,No game
2015-09-17,4,Thursday,Sep,11,No Game,No game
2015-09-18,10,Friday,Sep,22,Lost Game,Regular
2015-09-19,10,Saturday,Sep,9,Won Game,Regular
2015-09-20,6,Sunday,Sep,22,Won Game,Regular
2015-09-21,7,Monday,Sep,18,Won Game,Regular
2015-09-22,9,Tuesday,Sep,0,Lost Game,Regular
2015-09-23,15,Wednesday,Sep,11,Lost Game,Regular
2015-09-24,6,Thursday,Sep,11,No Game,No game
2015-09-25,14,Friday,Sep,11,Lost Game,Regular
2015-09-26,11,Saturday,Sep,10,Won Game,Regular
2015-09-27,7,Sunday,Sep,7,Won Game,Regular
2015-09-28,7,Monday,Sep,15,No Game,No game
2015-09-29,6,Tuesday,Sep,1,No Game,No game
2015-09-30,4,Wednesday,Sep,9,No Game,No game
2015-10-01,4,Thursday,Oct,12,No Game,No game
2015-10-02,7,Friday,Oct,20,No Game,No game
2015-10-03,6,Saturday,Oct,0,No Game,No game
2015-10-04,13,Sunday,Oct,1,No Game,No game
2015-10-05,11,Monday,Oct,17,No Game,No game
2015-10-06,6,Tuesday,Oct,0,No Game,No game
2015-10-07,9,Wednesday,Oct,1,No Game,No game
2015-10-08,11,Thursday,Oct,19,No Game,No game
2015-10-09,4,Friday,Oct,10,No Game,No game
2015-10-10,15,Saturday,Oct,22,No Game,No game
2015-10-11,12,Sunday,Oct,18,Won Game,Playoffs
2015-10-12,9,Monday,Oct,18,Lost Game,Playoffs
2015-10-13,8,Tuesday,Oct,18,No Game,No game
2015-10-14,9,Wednesday,Oct,23,No Game,No game
2015-10-15,8,Thursday,Oct,10,No Game,No game
2015-10-16,11,Friday,Oct,8,No Game,No game
2015-10-17,6,Saturday,Oct,12,No Game,No game
2015-10-18,5,Sunday,Oct,17,No Game,No game
2015-10-19,6,Monday,Oct,12,No Game,No game
2015-10-20,9,Tuesday,Oct,6,No Game,No game
2015-10-21,6,Wednesday,Oct,10,No Game,No game
2015-10-22,15,Thursday,Oct,2,No Game,No game
2015-10-23,10,Friday,Oct,1,No Game,No game
2015-10-24,2,Saturday,Oct,1,No Game,No game
2015-10-26,4,Monday,Oct,8,No Game,No game
2015-10-27,7,Tuesday,Oct,0,No Game,No game
2015-10-28,10,Wednesday,Oct,12,No Game,No game
2015-10-29,13,Thursday,Oct,22,No Game,No game
2015-10-30,11,Friday,Oct,11,No Game,No game
2015-10-31,4,Saturday,Oct,11,No Game,No game
2015-11-01,7,Sunday,Nov,11,No Game,No game
2015-11-02,6,Monday,Nov,8,No Game,No game
2015-11-03,5,Tuesday,Nov,7,No Game,No game
2015-11-04,9,Wednesday,Nov,7,No Game,No game
2015-11-05,6,Thursday,Nov,6,No Game,No game
2015-11-06,6,Friday,Nov,13,No Game,No game
2015-11-07,15,Saturday,Nov,7,No Game,No game
2015-11-08,6,Sunday,Nov,4,No Game,No game
2015-11-09,6,Monday,Nov,5,No Game,No game
2015-11-10,6,Tuesday,Nov,1,No Game,No game
2015-11-11,11,Wednesday,Nov,16,No Game,No game
2015-11-12,10,Thursday,Nov,11,No Game,No game
2015-11-13,11,Friday,Nov,8,No Game,No game
2015-11-14,12,Saturday,Nov,11,No Game,No game
2015-11-15,6,Sunday,Nov,2,No Game,No game
2015-11-16,8,Monday,Nov,1,No Game,No game
2015-11-17,5,Tuesday,Nov,7,No Game,No game
2015-11-18,7,Wednesday,Nov,6,No Game,No game
2015-11-19,11,Thursday,Nov,9,No Game,No game
2015-11-20,17,Friday,Nov,22,No Game,No game
2015-11-21,10,Saturday,Nov,22,No Game,No game
2015-11-22,12,Sunday,Nov,14,No Game,No game
2015-11-23,9,Monday,Nov,10,No Game,No game
2015-11-24,5,Tuesday,Nov,6,No Game,No game
2015-11-25,15,Wednesday,Nov,17,No Game,No game
2015-11-26,7,Thursday,Nov,8,No Game,No game
2015-11-27,13,Friday,Nov,15,No Game,No game
2015-11-28,10,Saturday,Nov,18,No Game,No game
2015-11-29,13,Sunday,Nov,19,No Game,No game
2015-11-30,6,Monday,Nov,0,No Game,No game
2015-12-01,9,Tuesday,Dec,11,No Game,No game
2015-12-02,8,Wednesday,Dec,7,No Game,No game
2015-12-03,4,Thursday,Dec,14,No Game,No game
2015-12-04,7,Friday,Dec,0,No Game,No game
2015-12-05,9,Saturday,Dec,17,No Game,No game
2015-12-06,9,Sunday,Dec,15,No Game,No game
2015-12-07,9,Monday,Dec,1,No Game,No game
2015-12-08,5,Tuesday,Dec,22,No Game,No game
2015-12-09,10,Wednesday,Dec,17,No Game,No game
2015-12-10,11,Thursday,Dec,8,No Game,No game
2015-12-11,8,Friday,Dec,8,No Game,No game
2015-12-12,14,Saturday,Dec,14,No Game,No game
2015-12-13,7,Sunday,Dec,23,No Game,No game
2015-12-14,9,Monday,Dec,10,No Game,No game
2015-12-15,10,Tuesday,Dec,17,No Game,No game
2015-12-16,11,Wednesday,Dec,23,No Game,No game
2015-12-17,10,Thursday,Dec,16,No Game,No game
2015-12-18,6,Friday,Dec,12,No Game,No game
2015-12-19,11,Saturday,Dec,13,No Game,No game
2015-12-20,10,Sunday,Dec,12,No Game,No game
2015-12-21,8,Monday,Dec,10,No Game,No game
2015-12-22,8,Tuesday,Dec,0,No Game,No game
2015-12-23,6,Wednesday,Dec,17,No Game,No game
2015-12-24,6,Thursday,Dec,9,No Game,No game
2015-12-25,5,Friday,Dec,11,No Game,No game
2015-12-26,6,Saturday,Dec,0,No Game,No game
2015-12-27,8,Sunday,Dec,20,No Game,No game
2015-12-28,3,Monday,Dec,7,No Game,No game
2015-12-29,9,Tuesday,Dec,17,No Game,No game
2015-12-30,17,Wednesday,Dec,17,No Game,No game
2015-12-31,6,Thursday,Dec,12,No Game,No game
2016-01-01,7,Friday,Jan,9,No Game,No game
2016-01-02,7,Saturday,Jan,9,No Game,No game
2016-01-03,10,Sunday,Jan,14,No Game,No game
2016-01-04,12,Monday,Jan,23,No Game,No game
2016-01-05,6,Tuesday,Jan,3,No Game,No game
2016-01-06,10,Wednesday,Jan,5,No Game,No game
2016-01-07,5,Thursday,Jan,4,No Game,No game
2016-01-08,5,Friday,Jan,8,No Game,No game
2016-01-09,6,Saturday,Jan,11,No Game,No game
2016-01-10,12,Sunday,Jan,19,No Game,No game
2016-01-11,7,Monday,Jan,0,No Game,No game
2016-01-12,12,Tuesday,Jan,11,No Game,No game
2016-01-13,13,Wednesday,Jan,7,No Game,No game
2016-01-14,8,Thursday,Jan,7,No Game,No game
2016-01-15,9,Friday,Jan,9,No Game,No game
2016-01-16,11,Saturday,Jan,16,No Game,No game
2016-01-17,15,Sunday,Jan,9,No Game,No game
2016-01-18,17,Monday,Jan,22,No Game,No game
2016-01-19,5,Tuesday,Jan,7,No Game,No game
2016-01-20,9,Wednesday,Jan,8,No Game,No game
2016-01-21,5,Thursday,Jan,13,No Game,No game
2016-01-22,11,Friday,Jan,15,No Game,No game
2016-01-23,11,Saturday,Jan,16,No Game,No game
2016-01-24,7,Sunday,Jan,6,No Game,No game
2016-01-25,7,Monday,Jan,11,No Game,No game
2016-01-26,6,Tuesday,Jan,21,No Game,No game
2016-01-27,6,Wednesday,Jan,19,No Game,No game
2016-01-28,9,Thursday,Jan,18,No Game,No game
2016-01-29,11,Friday,Jan,10,No Game,No game
2016-01-30,13,Saturday,Jan,7,No Game,No game
2016-01-31,10,Sunday,Jan,3,No Game,No game
2016-02-01,8,Monday,Feb,9,No Game,No game
2016-02-02,4,Tuesday,Feb,11,No Game,No game
2016-02-03,9,Wednesday,Feb,18,No Game,No game
2016-02-04,5,Thursday,Feb,0,No Game,No game
2016-02-05,6,Friday,Feb,2,No Game,No game
2016-02-06,11,Saturday,Feb,15,No Game,No game
2016-02-07,8,Sunday,Feb,19,No Game,No game
2016-02-08,5,Monday,Feb,10,No Game,No game
2016-02-09,7,Tuesday,Feb,15,No Game,No game
2016-02-10,7,Wednesday,Feb,10,No Game,No game
2016-02-11,4,Thursday,Feb,9,No Game,No game
2016-02-12,10,Friday,Feb,23,No Game,No game
2016-02-13,7,Saturday,Feb,15,No Game,No game
2016-02-14,6,Sunday,Feb,14,No Game,No game
2016-02-15,6,Monday,Feb,17,No Game,No game
2016-02-16,4,Tuesday,Feb,2,No Game,No game
2016-02-17,6,Wednesday,Feb,7,No Game,No game
2016-02-18,6,Thursday,Feb,2,No Game,No game
2016-02-19,11,Friday,Feb,11,No Game,No game
2016-02-20,9,Saturday,Feb,19,No Game,No game
2016-02-21,7,Sunday,Feb,11,No Game,No game
2016-02-22,6,Monday,Feb,10,No Game,No game
2016-02-23,10,Tuesday,Feb,15,No Game,No game
2016-02-24,8,Wednesday,Feb,6,No Game,No game
2016-02-25,4,Thursday,Feb,16,No Game,No game
2016-02-26,6,Friday,Feb,22,No Game,No game
2016-02-27,10,Saturday,Feb,3,No Game,No game
2016-02-28,11,Sunday,Feb,7,No Game,No game
2016-02-29,6,Monday,Feb,19,No Game,No game
2016-03-01,8,Tuesday,Mar,9,No Game,No game
2016-03-02,7,Wednesday,Mar,15,No Game,No game
2016-03-03,17,Thursday,Mar,20,No Game,No game
2016-03-04,10,Friday,Mar,14,No Game,No game
2016-03-05,10,Saturday,Mar,0,No Game,No game
2016-03-06,6,Sunday,Mar,11,No Game,No game
2016-03-07,5,Monday,Mar,10,No Game,No game
2016-03-08,8,Tuesday,Mar,18,No Game,No game
2016-03-09,4,Wednesday,Mar,11,No Game,No game
2016-03-10,8,Thursday,Mar,5,No Game,No game
2016-03-11,13,Friday,Mar,16,No Game,No game
2016-03-12,6,Saturday,Mar,1,No Game,No game
2016-03-13,6,Sunday,Mar,16,No Game,No game
2016-03-14,5,Monday,Mar,0,No Game,No game
2016-03-15,11,Tuesday,Mar,12,No Game,No game
2016-03-16,6,Wednesday,Mar,2,No Game,No game
2016-03-17,10,Thursday,Mar,1,No Game,No game
2016-03-18,7,Friday,Mar,2,No Game,No game
2016-03-19,13,Saturday,Mar,13,No Game,No game
2016-03-20,7,Sunday,Mar,4,No Game,No game
2016-03-21,5,Monday,Mar,8,No Game,No game
2016-03-22,4,Tuesday,Mar,2,No Game,No game
2016-03-23,6,Wednesday,Mar,7,No Game,No game
2016-03-24,10,Thursday,Mar,15,No Game,No game
2016-03-25,12,Friday,Mar,9,No Game,No game
2016-03-26,7,Saturday,Mar,5,No Game,No game
2016-03-27,8,Sunday,Mar,4,No Game,No game
2016-03-28,5,Monday,Mar,13,No Game,No game
2016-03-29,10,Tuesday,Mar,18,No Game,No game
2016-03-30,9,Wednesday,Mar,17,No Game,No game
2016-03-31,8,Thursday,Mar,13,No Game,No game
2016-04-01,12,Friday,Apr,12,No Game,No game
2016-04-02,11,Saturday,Apr,9,No Game,No game
2016-04-03,9,Sunday,Apr,4,No Game,No game
2016-04-04,5,Monday,Apr,3,No Game,No game
2016-04-05,3,Tuesday,Apr,8,No Game,No game
