date,sum_crimes,weekday,month,mode_hr,game,seasons
2014-04-05,5,Saturday,Apr,1,Lost Game,Regular
2014-04-06,6,Sunday,Apr,2,Won Game,Regular
2014-04-07,4,Monday,Apr,11,Lost Game,Regular
2014-04-08,4,Tuesday,Apr,18,No Game,No game
2014-04-09,1,Wednesday,Apr,4,No Game,No game
2014-04-10,7,Thursday,Apr,8,No Game,No game
2014-04-11,10,Friday,Apr,17,No Game,No game
2014-04-12,5,Saturday,Apr,8,No Game,No game
2014-04-13,10,Sunday,Apr,20,No Game,No game
2014-04-14,8,Monday,Apr,8,No Game,No game
2014-04-15,7,Tuesday,Apr,0,Lost Game,Regular
2014-04-16,2,Wednesday,Apr,4,Lost Game,Regular
2014-04-17,13,Thursday,Apr,19,Lost Game,Regular
2014-04-18,7,Friday,Apr,12,No Game,No game
2014-04-19,8,Saturday,Apr,22,No Game,No game
2014-04-20,6,Sunday,Apr,2,No Game,No game
2014-04-21,8,Monday,Apr,0,No Game,No game
2014-04-22,5,Tuesday,Apr,0,No Game,No game
2014-04-23,4,Wednesday,Apr,20,No Game,No game
2014-04-24,8,Thursday,Apr,18,Lost Game,Regular
2014-04-25,7,Friday,Apr,2,Lost Game,Regular
2014-04-26,11,Saturday,Apr,10,Won Game,Regular
2014-04-27,7,Sunday,Apr,1,Won Game,Regular
2014-04-28,9,Monday,Apr,12,No Game,No game
2014-04-29,10,Tuesday,Apr,10,Lost Game,Regular
2014-04-30,8,Wednesday,Apr,6,Lost Game,Regular
2014-05-01,6,Thursday,May,18,No Game,No game
2014-05-02,2,Friday,May,12,Won Game,Regular
2014-05-03,8,Saturday,May,21,Lost Game,Regular
2014-05-04,8,Sunday,May,3,Lost Game,Regular
2014-05-05,7,Monday,May,22,No Game,No game
2014-05-06,8,Tuesday,May,0,No Game,No game
2014-05-07,6,Wednesday,May,19,No Game,No game
2014-05-08,6,Thursday,May,13,No Game,No game
2014-05-09,8,Friday,May,11,No Game,No game
2014-05-10,4,Saturday,May,17,No Game,No game
2014-05-11,5,Sunday,May,2,No Game,No game
2014-05-12,8,Monday,May,11,Lost Game,Regular
2014-05-13,5,Tuesday,May,0,Won Game,Regular
2014-05-14,8,Wednesday,May,10,Won Game,Regular
2014-05-15,5,Thursday,May,1,No Game,No game
2014-05-16,7,Friday,May,1,Lost Game,Regular
2014-05-17,5,Saturday,May,23,Won Game,Regular
2014-05-18,5,Sunday,May,0,Won Game,Regular
2014-05-19,9,Monday,May,0,No Game,No game
2014-05-20,10,Tuesday,May,9,No Game,No game
2014-05-21,8,Wednesday,May,20,No Game,No game
2014-05-22,4,Thursday,May,14,No Game,No game
2014-05-23,5,Friday,May,0,No Game,No game
2014-05-24,7,Saturday,May,20,No Game,No game
2014-05-25,11,Sunday,May,0,No Game,No game
2014-05-26,2,Monday,May,9,No Game,No game
2014-05-27,6,Tuesday,May,16,No Game,No game
2014-05-28,10,Wednesday,May,17,No Game,No game
2014-05-29,7,Thursday,May,22,Won Game,Regular
2014-05-30,11,Friday,May,7,Won Game,Regular
2014-05-31,4,Saturday,May,1,Lost Game,Regular
2014-06-01,11,Sunday,Jun,18,Lost Game,Regular
2014-06-02,7,Monday,Jun,0,No Game,No game
2014-06-03,2,Tuesday,Jun,2,Won Game,Regular
2014-06-04,4,Wednesday,Jun,6,Lost Game,Regular
2014-06-05,3,Thursday,Jun,4,Won Game,Regular
2014-06-06,2,Friday,Jun,12,No Game,No game
2014-06-07,1,Saturday,Jun,15,No Game,No game
2014-06-08,3,Sunday,Jun,6,No Game,No game
2014-06-09,8,Monday,Jun,12,No Game,No game
2014-06-10,12,Tuesday,Jun,10,No Game,No game
2014-06-11,19,Wednesday,Jun,10,Won Game,Regular
2014-06-12,14,Thursday,Jun,8,Won Game,Regular
2014-06-13,28,Friday,Jun,1,Lost Game,Regular
2014-06-14,14,Saturday,Jun,8,Won Game,Regular
2014-06-15,18,Sunday,Jun,11,Lost Game,Regular
2014-06-16,18,Monday,Jun,19,No Game,No game
2014-06-17,16,Tuesday,Jun,7,No Game,No game
2014-06-18,9,Wednesday,Jun,15,No Game,No game
2014-06-19,8,Thursday,Jun,10,No Game,No game
2014-06-20,13,Friday,Jun,10,No Game,No game
2014-06-21,15,Saturday,Jun,13,No Game,No game
2014-06-22,10,Sunday,Jun,14,No Game,No game
2014-06-23,19,Monday,Jun,16,No Game,No game
2014-06-24,15,Tuesday,Jun,9,Lost Game,Regular
2014-06-25,21,Wednesday,Jun,10,Lost Game,Regular
2014-06-26,20,Thursday,Jun,8,Won Game,Regular
2014-06-27,21,Friday,Jun,12,Won Game,Regular
2014-06-28,21,Saturday,Jun,9,Lost Game,Regular
2014-06-29,9,Sunday,Jun,9,Won Game,Regular
2014-06-30,10,Monday,Jun,22,Lost Game,Regular
2014-07-01,10,Tuesday,Jul,10,Lost Game,Regular
2014-07-02,7,Wednesday,Jul,17,Lost Game,Regular
2014-07-03,14,Thursday,Jul,13,No Game,No game
2014-07-04,22,Friday,Jul,10,No Game,No game
2014-07-05,12,Saturday,Jul,19,No Game,No game
2014-07-06,12,Sunday,Jul,9,No Game,No game
2014-07-07,19,Monday,Jul,14,No Game,No game
2014-07-08,15,Tuesday,Jul,15,No Game,No game
2014-07-09,11,Wednesday,Jul,13,No Game,No game
2014-07-10,11,Thursday,Jul,15,No Game,No game
2014-07-11,16,Friday,Jul,10,Lost Game,Regular
2014-07-12,21,Saturday,Jul,18,Won Game,Regular
2014-07-13,11,Sunday,Jul,14,Lost Game,Regular
2014-07-14,16,Monday,Jul,15,No Game,No game
2014-07-15,19,Tuesday,Jul,12,No Game,No game
2014-07-16,18,Wednesday,Jul,14,No Game,No game
2014-07-17,10,Thursday,Jul,7,No Game,No game
2014-07-18,35,Friday,Jul,23,No Game,No game
2014-07-19,17,Saturday,Jul,12,No Game,No game
2014-07-20,14,Sunday,Jul,13,No Game,No game
2014-07-21,20,Monday,Jul,17,No Game,No game
2014-07-22,16,Tuesday,Jul,16,No Game,No game
2014-07-23,9,Wednesday,Jul,1,No Game,No game
2014-07-24,12,Thursday,Jul,16,No Game,No game
2014-07-25,12,Friday,Jul,6,Lost Game,Regular
2014-07-26,12,Saturday,Jul,11,Lost Game,Regular
2014-07-27,18,Sunday,Jul,11,Lost Game,Regular
2014-07-28,9,Monday,Jul,13,Won Game,Regular
2014-07-29,16,Tuesday,Jul,8,Lost Game,Regular
2014-07-30,15,Wednesday,Jul,9,Won Game,Regular
2014-07-31,16,Thursday,Jul,12,Lost Game,Regular
2014-08-01,12,Friday,Aug,9,Won Game,Regular
2014-08-02,22,Saturday,Aug,10,Won Game,Regular
2014-08-03,19,Sunday,Aug,7,Won Game,Regular
2014-08-04,21,Monday,Aug,9,No Game,No game
2014-08-05,22,Tuesday,Aug,8,No Game,No game
2014-08-06,9,Wednesday,Aug,4,No Game,No game
2014-08-07,9,Thursday,Aug,10,No Game,No game
2014-08-08,19,Friday,Aug,18,Won Game,Regular
2014-08-09,11,Saturday,Aug,11,Won Game,Regular
2014-08-10,14,Sunday,Aug,9,Lost Game,Regular
2014-08-11,18,Monday,Aug,9,Lost Game,Regular
2014-08-12,15,Tuesday,Aug,8,Won Game,Regular
2014-08-13,10,Wednesday,Aug,16,Lost Game,Regular
2014-08-14,16,Thursday,Aug,12,No Game,No game
2014-08-15,10,Friday,Aug,10,No Game,No game
2014-08-16,12,Saturday,Aug,10,No Game,No game
2014-08-17,14,Sunday,Aug,0,No Game,No game
2014-08-18,15,Monday,Aug,19,No Game,No game
2014-08-19,20,Tuesday,Aug,7,No Game,No game
2014-08-20,14,Wednesday,Aug,16,No Game,No game
2014-08-21,15,Thursday,Aug,10,No Game,No game
2014-08-22,9,Friday,Aug,2,No Game,No game
2014-08-23,12,Saturday,Aug,0,No Game,No game
2014-08-24,5,Sunday,Aug,8,No Game,No game
2014-08-25,9,Monday,Aug,12,Lost Game,Regular
2014-08-26,8,Tuesday,Aug,21,Won Game,Regular
2014-08-27,2,Wednesday,Aug,5,Lost Game,Regular
2014-08-28,11,Thursday,Aug,6,Won Game,Regular
2014-08-29,2,Friday,Aug,7,Lost Game,Regular
2014-08-30,5,Saturday,Aug,11,Won Game,Regular
2014-08-31,6,Sunday,Aug,2,Won Game,Regular
2014-09-01,3,Monday,Sep,13,No Game,No game
2014-09-02,8,Tuesday,Sep,13,Won Game,Regular
2014-09-03,7,Wednesday,Sep,11,Won Game,Regular
2014-09-04,8,Thursday,Sep,9,No Game,No game
2014-09-05,7,Friday,Sep,23,No Game,No game
2014-09-06,9,Saturday,Sep,8,No Game,No game
2014-09-07,8,Sunday,Sep,8,No Game,No game
2014-09-08,10,Monday,Sep,9,No Game,No game
2014-09-09,8,Tuesday,Sep,11,No Game,No game
2014-09-10,8,Wednesday,Sep,10,No Game,No game
2014-09-11,6,Thursday,Sep,0,No Game,No game
2014-09-12,4,Friday,Sep,10,No Game,No game
2014-09-13,8,Saturday,Sep,14,No Game,No game
2014-09-14,10,Sunday,Sep,12,No Game,No game
2014-09-15,6,Monday,Sep,13,Won Game,Regular
2014-09-16,9,Tuesday,Sep,22,Lost Game,Regular
2014-09-17,3,Wednesday,Sep,12,Lost Game,Regular
2014-09-18,8,Thursday,Sep,4,Lost Game,Regular
2014-09-19,11,Friday,Sep,9,Lost Game,Regular
2014-09-20,12,Saturday,Sep,8,Won Game,Regular
2014-09-21,12,Sunday,Sep,15,Won Game,Regular
2014-09-22,12,Monday,Sep,17,No Game,No game
2014-09-23,10,Tuesday,Sep,1,No Game,No game
2014-09-24,7,Wednesday,Sep,15,No Game,No game
2014-09-25,6,Thursday,Sep,22,No Game,No game
2014-09-26,4,Friday,Sep,8,No Game,No game
2014-09-27,6,Saturday,Sep,0,No Game,No game
2014-09-28,6,Sunday,Sep,0,No Game,No game
2014-09-29,8,Monday,Sep,13,No Game,No game
2014-09-30,4,Tuesday,Sep,4,No Game,No game
2014-10-01,9,Wednesday,Oct,6,No Game,No game
2014-10-02,10,Thursday,Oct,9,No Game,No game
2014-10-03,9,Friday,Oct,14,No Game,No game
2014-10-04,9,Saturday,Oct,2,No Game,No game
2014-10-05,10,Sunday,Oct,16,No Game,No game
2014-10-06,7,Monday,Oct,14,No Game,No game
2014-10-07,6,Tuesday,Oct,18,No Game,No game
2014-10-08,2,Wednesday,Oct,1,No Game,No game
2014-10-09,7,Thursday,Oct,17,No Game,No game
2014-10-10,9,Friday,Oct,7,No Game,No game
2014-10-11,6,Saturday,Oct,9,No Game,No game
2014-10-12,7,Sunday,Oct,19,No Game,No game
2014-10-13,6,Monday,Oct,8,No Game,No game
2014-10-14,11,Tuesday,Oct,10,No Game,No game
2014-10-15,7,Wednesday,Oct,17,No Game,No game
2014-10-16,6,Thursday,Oct,12,No Game,No game
2014-10-17,5,Friday,Oct,11,No Game,No game
2014-10-18,8,Saturday,Oct,1,No Game,No game
2014-10-19,16,Sunday,Oct,23,No Game,No game
2014-10-20,5,Monday,Oct,11,No Game,No game
2014-10-21,7,Tuesday,Oct,20,No Game,No game
2014-10-22,4,Wednesday,Oct,9,No Game,No game
2014-10-23,7,Thursday,Oct,3,No Game,No game
2014-10-24,9,Friday,Oct,7,No Game,No game
2014-10-25,8,Saturday,Oct,10,No Game,No game
