scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,winner
2008-12-14 18:04:05,JAC,20.0,GB,16.0,JAC
2008-12-14 21:05:47,ARI,14.0,MIN,35.0,MIN
2008-12-14 21:15:39,OAK,26.0,NE,49.0,NE
2008-12-14 21:16:45,CAR,30.0,DEN,10.0,CAR
2008-12-14 21:17:12,BAL,9.0,PIT,13.0,PIT
2008-12-15 01:24:56,DAL,20.0,NYG,8.0,DAL
2008-12-16 01:40:39,PHI,30.0,CLE,10.0,PHI
2008-12-19 01:16:20,JAC,24.0,IND,31.0,IND
2008-12-21 01:15:37,DAL,24.0,BAL,33.0,BAL
2008-12-21 18:02:43,STL,16.0,SF,17.0,SF
2008-12-21 18:02:50,KC,31.0,MIA,38.0,MIA
2008-12-21 18:02:54,TEN,31.0,PIT,14.0,TEN
2008-12-21 18:02:56,TB,24.0,SD,41.0,SD
2008-12-21 18:03:23,DET,7.0,NO,42.0,NO
2008-12-21 18:03:29,CLE,0.0,CIN,14.0,CIN
2008-12-21 18:03:30,NE,47.0,ARI,7.0,NE
2008-12-21 21:05:38,OAK,27.0,HOU,16.0,OAK
2008-12-21 21:06:00,DEN,23.0,BUF,30.0,BUF
2008-12-21 21:06:12,SEA,13.0,NYJ,3.0,SEA
2008-12-21 21:15:25,MIN,17.0,ATL,24.0,ATL
2008-12-21 21:16:08,WAS,10.0,PHI,3.0,WAS
2008-12-22 01:23:49,NYG,34.0,CAR,28.0,NYG
2008-12-23 01:40:42,CHI,20.0,GB,17.0,CHI
2008-12-28 18:02:40,CIN,16.0,KC,6.0,CIN
2008-12-28 18:02:47,TB,24.0,OAK,31.0,OAK
2008-12-28 18:02:50,IND,23.0,TEN,0.0,IND
2008-12-28 18:02:51,PIT,31.0,CLE,0.0,PIT
2008-12-28 18:02:51,MIN,20.0,NYG,19.0,MIN
2008-12-28 18:02:55,ATL,31.0,STL,27.0,ATL
2008-12-28 18:03:08,HOU,31.0,CHI,24.0,HOU
2008-12-28 18:03:22,BUF,0.0,NE,13.0,NE
2008-12-28 18:03:24,GB,31.0,DET,21.0,GB
2008-12-28 18:03:32,NO,31.0,CAR,33.0,CAR
2008-12-28 21:15:33,SF,27.0,WAS,24.0,SF
2008-12-28 21:15:51,ARI,34.0,SEA,21.0,ARI
2008-12-28 21:15:55,PHI,44.0,DAL,6.0,PHI
2008-12-28 21:16:50,BAL,27.0,JAC,7.0,BAL
2008-12-28 21:16:50,NYJ,17.0,MIA,24.0,MIA
2008-12-29 01:24:17,SD,52.0,DEN,21.0,SD
2009-09-11 00:41:23,PIT,13.0,TEN,10.0,PIT
2009-09-13 17:02:33,ATL,19.0,MIA,7.0,ATL
2009-09-13 17:02:33,IND,14.0,JAC,12.0,IND
2009-09-13 17:02:42,CIN,7.0,DEN,12.0,DEN
2009-09-13 17:02:54,HOU,7.0,NYJ,24.0,NYJ
2009-09-13 17:03:10,CAR,10.0,PHI,38.0,PHI
2009-09-13 17:03:17,TB,21.0,DAL,34.0,DAL
2009-09-13 17:03:27,CLE,20.0,MIN,34.0,MIN
2009-09-13 17:03:33,NO,45.0,DET,27.0,NO
2009-09-13 17:03:41,BAL,38.0,KC,24.0,BAL
2009-09-13 20:15:49,ARI,16.0,SF,20.0,SF
2009-09-13 20:15:53,NYG,23.0,WAS,17.0,NYG
2009-09-13 20:16:45,SEA,28.0,STL,0.0,SEA
2009-09-14 00:31:29,GB,21.0,CHI,15.0,GB
2009-09-14 23:11:25,NE,25.0,BUF,24.0,NE
2009-09-15 02:20:57,OAK,20.0,SD,24.0,SD
2009-09-20 17:02:33,GB,24.0,CIN,31.0,CIN
2009-09-20 17:02:36,KC,10.0,OAK,13.0,OAK
2009-09-20 17:02:42,WAS,9.0,STL,7.0,WAS
2009-09-20 17:02:43,NYJ,16.0,NE,9.0,NYJ
2009-09-20 17:02:56,ATL,28.0,CAR,20.0,ATL
2009-09-20 17:03:06,DET,13.0,MIN,27.0,MIN
2009-09-20 17:03:12,TEN,31.0,HOU,34.0,HOU
2009-09-20 17:03:38,JAC,17.0,ARI,31.0,ARI
2009-09-20 17:04:09,PHI,22.0,NO,48.0,NO
2009-09-20 20:05:08,SF,23.0,SEA,10.0,SF
2009-09-20 20:06:00,BUF,33.0,TB,20.0,BUF
2009-09-20 20:15:36,DEN,27.0,CLE,6.0,DEN
