Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat_lon,full_address
2010-02-03 17:00:00,10H30,Theft,bar/night club,1,17,3,Wednesday,Feb,2010,"(29.7524653, -95.35478769999999)","850 St Emanuel St, Houston, TX 77003, USA"
2010-02-03 18:00:00,10H30,Theft,commercial building,1,18,3,Wednesday,Feb,2010,"(29.753877, -95.3496449)","450 Emancipation Ave, Houston, TX 77003, USA"
2010-02-04 19:00:00,10H30,Theft,other parking lot,1,19,4,Thursday,Feb,2010,"(29.7540067, -95.3529071)","2150 Texas St, Houston, TX 77003, USA"
2010-02-05 16:00:00,10H30,Theft,apartment parking lot,1,16,5,Friday,Feb,2010,"(29.7488265, -95.35544519999999)","2250 Dallas St, Houston, TX 77003, USA"
2010-02-06 00:00:00,10H30,Theft,road/street/sidewalk,1,0,6,Saturday,Feb,2010,"(29.7499994, -95.3558456)","2150 Lamar St, Houston, TX 77003, USA"
2010-02-06 02:00:00,10H30,Auto Theft,commercial parking lot/garage,1,2,6,Saturday,Feb,2010,"(29.75036819999999, -95.3549348)","1050 Hutchins St, Houston, TX 77003, USA"
2010-02-06 03:00:00,10H30,Robbery,driveway,1,3,6,Saturday,Feb,2010,"(29.7509661, -95.35481809999999)","950 Hutchins St, Houston, TX 77003, USA"
2010-02-06 10:00:00,10H30,Theft,road/street/sidewalk,1,10,6,Saturday,Feb,2010,"(29.7472593, -95.3579999)","2150 Bell St, Houston, TX 77003, USA"
2010-02-06 18:00:00,10H30,Theft,bar/night club parking lot,1,18,6,Saturday,Feb,2010,"(29.7524653, -95.35478769999999)","850 St Emanuel St, Houston, TX 77003, USA"
2010-02-07 00:00:00,10H30,Theft,bar/night club parking lot,1,0,7,Sunday,Feb,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-02-07 15:00:00,10H30,Theft,social services/public charities,1,15,7,Sunday,Feb,2010,"(29.753877, -95.3496449)","450 Emancipation Ave, Houston, TX 77003, USA"
2010-02-07 22:00:00,10H30,Robbery,road/street/sidewalk,1,22,7,Sunday,Feb,2010,"(29.741113, -95.3437768)","3650 Polk St, Houston, TX 77003, USA"
2010-02-08 20:00:00,10H30,Burglary,residence/house,1,20,8,Monday,Feb,2010,"(29.7437212, -95.3555354)","1650 Live Oak St, Houston, TX 77003, USA"
2010-02-10 09:00:00,10H30,Theft,road/street/sidewalk,1,9,10,Wednesday,Feb,2010,"(29.7528252, -95.35350799999999)","2150 Capitol St, Houston, TX 77003, USA"
2010-02-10 18:00:00,10H30,Burglary,apartment,1,18,10,Wednesday,Feb,2010,"(29.7432383, -95.34704459999999)","1250 Roberts St, Houston, TX 77003, USA"
2010-02-10 22:00:00,10H30,Theft,garage/carport,1,22,10,Wednesday,Feb,2010,"(29.7540067, -95.3529071)","2150 Texas St, Houston, TX 77003, USA"
2010-02-11 19:00:00,10H30,Burglary,residence/house,1,19,11,Thursday,Feb,2010,"(29.7428734, -95.3522813)","1550 Paige St, Houston, TX 77003, USA"
2010-02-12 02:00:00,10H30,Theft,residence/house,1,2,12,Friday,Feb,2010,"(29.7443232, -95.3531288)","2750 Bell St, Houston, TX 77003, USA"
2010-02-12 04:00:00,10H30,Theft,bar/night club parking lot,1,4,12,Friday,Feb,2010,"(29.7578815, -95.35042209999999)","2050 Commerce St, Houston, TX 77002, USA"
2010-02-12 13:00:00,10H30,Theft,restaurant/cafeteria parking lot,1,13,12,Friday,Feb,2010,"(29.7464328, -95.3583014)","1550 Hutchins St, Houston, TX 77003, USA"
2010-02-12 22:00:00,10H30,Robbery,road/street/sidewalk,1,22,12,Friday,Feb,2010,"(29.7477711, -95.35883849999999)","2050 Bell St, Houston, TX 77003, USA"
2010-02-12 23:00:00,10H30,Theft,road/street/sidewalk,1,23,12,Friday,Feb,2010,"(29.7506547, -95.3572334)","1150 Chartres St, Houston, TX 77003, USA"
2010-02-14 01:00:00,10H30,Theft,bar/night club,1,1,14,Sunday,Feb,2010,"(29.7466075, -95.3593348)","2050 Leeland St, Houston, TX 77003, USA"
2010-02-14 01:00:00,10H30,Theft,bar/night club,1,1,14,Sunday,Feb,2010,"(29.7488265, -95.35544519999999)","2250 Dallas St, Houston, TX 77003, USA"
2010-02-14 01:00:00,10H30,Theft,apartment parking lot,1,1,14,Sunday,Feb,2010,"(29.7466075, -95.3593348)","2050 Leeland St, Houston, TX 77003, USA"
2010-02-14 01:00:00,10H30,Theft,apartment parking lot,1,1,14,Sunday,Feb,2010,"(29.7488265, -95.35544519999999)","2250 Dallas St, Houston, TX 77003, USA"
2010-02-14 02:00:00,10H30,Theft,bar/night club,1,2,14,Sunday,Feb,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-02-14 21:00:00,10H30,Theft,road/street/sidewalk,1,21,14,Sunday,Feb,2010,"(29.7528252, -95.35350799999999)","2150 Capitol St, Houston, TX 77003, USA"
2010-02-16 12:00:00,10H30,Burglary,condominium,1,12,16,Tuesday,Feb,2010,"(29.7428734, -95.3522813)","1550 Paige St, Houston, TX 77003, USA"
2010-02-17 19:00:00,10H30,Theft,road/street/sidewalk,1,19,17,Wednesday,Feb,2010,"(29.741796, -95.35225319999999)","2950 Pease St, Houston, TX 77003, USA"
2010-02-18 16:00:00,10H30,Theft,bar/night club parking lot,1,16,18,Thursday,Feb,2010,"(29.7524653, -95.35478769999999)","850 St Emanuel St, Houston, TX 77003, USA"
2010-02-18 22:00:00,10H30,Theft,bar/night club,1,22,18,Thursday,Feb,2010,"(29.7485764, -95.35152880000001)","2550 McKinney St, Houston, TX 77003, USA"
2010-02-19 12:00:00,10H30,Theft,other parking lot,1,12,19,Friday,Feb,2010,"(29.7486069, -95.3487529)","850 Delano St, Houston, TX 77003, USA"
2010-02-19 22:00:00,10H30,Aggravated Assault,bar/night club,1,22,19,Friday,Feb,2010,"(29.7475521, -95.3596541)","1550 Chartres St, Houston, TX 77003, USA"
2010-02-19 23:00:00,10H30,Theft,service/gas station,1,23,19,Friday,Feb,2010,"(29.6961263, -95.28912539999999)","3550 Gulf Fwy, Houston, TX 77087, USA"
2010-02-20 00:00:00,10H30,Theft,bar/night club parking lot,1,0,20,Saturday,Feb,2010,"(29.7578815, -95.35042209999999)","2050 Commerce St, Houston, TX 77002, USA"
2010-02-20 15:00:00,10H30,Theft,grocery/supermarket parking lot,1,15,20,Saturday,Feb,2010,"(29.7506861, -95.3561113)","1050 St Emanuel St, Houston, TX 77003, USA"
2010-02-21 19:00:00,10H30,Theft,road/street/sidewalk,1,19,21,Sunday,Feb,2010,"(29.7540067, -95.3529071)","2150 Texas St, Houston, TX 77003, USA"
2010-02-21 22:00:00,10H30,Theft,road/street/sidewalk,1,22,21,Sunday,Feb,2010,"(29.7522163, -95.3535181)","2250 Rusk St, Houston, TX 77003, USA"
2010-02-22 20:00:00,10H30,Burglary,residence/house,1,20,22,Monday,Feb,2010,"(29.7441012, -95.3477688)","3150 Dallas St, Houston, TX 77003, USA"
2010-02-23 00:00:00,10H30,Theft,road/street/sidewalk,1,0,23,Tuesday,Feb,2010,"(29.7456742, -95.34896429999999)","1150 Ennis St, Houston, TX 77003, USA"
2010-02-23 17:00:00,10H30,Theft,other parking lot,1,17,23,Tuesday,Feb,2010,"(29.7413924, -95.34446779999999)","3550 Polk St, Houston, TX 77003, USA"
