Date,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2010-02-23,10H30,1100-1199,ENNIS,Theft,ROAD/STREET/SIDEWALK,1.0,0.0,23,Tuesday,Feb,2010
2010-02-23,10H30,1300-1399,LIVE OAK,Theft,ROAD/STREET/SIDEWALK,1.0,18.0,23,Tuesday,Feb,2010
2010-02-23,10H30,3500-3599,POLK,Theft,OTHER PARKING LOT,1.0,17.0,23,Tuesday,Feb,2010
2010-02-26,10H30,2800-2899,GULF,Theft,SPECIALTY STORE (NON-SPECIFIC),1.0,11.0,26,Friday,Feb,2010
2010-02-28,10H30,1600-1699,EDMUNDSON,Theft,WAREHOUSE,1.0,9.0,28,Sunday,Feb,2010
2010-03-01,10H30,1300-1399,DOWLING,Theft,ROAD/STREET/SIDEWALK,1.0,10.0,1,Monday,Mar,2010
2010-03-01,10H30,2000-2099,CAPITOL,Theft,ROAD/STREET/SIDEWALK,1.0,18.0,1,Monday,Mar,2010
2010-03-03,10H30,2000-2099,MCKINNEY,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,16.0,3,Wednesday,Mar,2010
2010-03-03,10H30,2000-2099,MCKINNEY,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,0.0,3,Wednesday,Mar,2010
2010-03-03,10H30,2200-2299,MCKINNEY,Theft,ROAD/STREET/SIDEWALK,1.0,0.0,3,Wednesday,Mar,2010
2010-03-03,10H30,1200-1299,ST EMANUEL,Theft,ROAD/STREET/SIDEWALK,1.0,0.0,3,Wednesday,Mar,2010
2010-03-04,10H30,700-799,CHARTRES,Robbery,COMMERCIAL PARKING LOT/GARAGE,1.0,15.0,4,Thursday,Mar,2010
2010-03-05,10H30,2300-2399,RUSK,Theft,ROAD/STREET/SIDEWALK,1.0,13.0,5,Friday,Mar,2010
2010-03-06,10H30,400-499,DOWLING,Aggravated Assault,SOCIAL SERVICES/PUBLIC CHARITIES,1.0,22.0,6,Saturday,Mar,2010
2010-03-06,10H30,2100-2199,CLAY,Theft,ROAD/STREET/SIDEWALK,1.0,23.0,6,Saturday,Mar,2010
2010-03-06,10H30,2500-2599,MCKINNEY,Robbery,BAR/NIGHT CLUB PARKING LOT,1.0,20.0,6,Saturday,Mar,2010
2010-03-06,10H30,2200-2299,DALLAS,Theft,APARTMENT PARKING LOT,1.0,10.0,6,Saturday,Mar,2010
2010-03-07,10H30,1000-1099,ST EMANUEL,Theft,ROAD/STREET/SIDEWALK,1.0,0.0,7,Sunday,Mar,2010
2010-03-08,10H30,2900-2999,MCKINNEY,Theft,OTHER/UNKNOWN,1.0,17.0,8,Monday,Mar,2010
2010-03-09,10H30,400-499,DOWLING,Theft,OTHER/UNKNOWN,1.0,9.0,9,Tuesday,Mar,2010
2010-03-10,10H30,2200-2299,DALLAS,Theft,APARTMENT PARKING LOT,1.0,21.0,10,Wednesday,Mar,2010
2010-03-11,10H30,1900-1999,TEXAS,Theft,COMMERCIAL PARKING LOT/GARAGE,1.0,8.0,11,Thursday,Mar,2010
2010-03-12,10H30,2000-2099,COMMERCE,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,22.0,12,Friday,Mar,2010
2010-03-13,10H30,2000-2099,COMMERCE,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,23.0,13,Saturday,Mar,2010
2010-03-13,10H30,1500-1599,CHARTRES,Aggravated Assault,BAR/NIGHT CLUB,1.0,22.0,13,Saturday,Mar,2010
2010-03-13,10H30,1900-1999,COMMERCE,Theft,BAR/NIGHT CLUB,1.0,1.0,13,Saturday,Mar,2010
2010-03-14,10H30,2200-2299,RUSK,Theft,ROAD/STREET/SIDEWALK,1.0,21.0,14,Sunday,Mar,2010
2010-03-14,10H30,2200-2299,WALKER,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,23.0,14,Sunday,Mar,2010
2010-03-14,10H30,1900-1999,RUSK,Theft,ROAD/STREET/SIDEWALK,1.0,17.0,14,Sunday,Mar,2010
2010-03-14,10H30,1300-1399,LIVE OAK,Theft,ROAD/STREET/SIDEWALK,1.0,15.0,14,Sunday,Mar,2010
2010-03-14,10H30,2000-2099,MCKINNEY,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,2.0,14,Sunday,Mar,2010
2010-03-14,10H30,2000-2099,COMMERCE,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,1.0,14,Sunday,Mar,2010
2010-03-16,10H30,2200-2299,LAMAR,Aggravated Assault,ALLEY,1.0,13.0,16,Tuesday,Mar,2010
2010-03-17,10H30,800-899,ST EMANUEL,Auto Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,2.0,17,Wednesday,Mar,2010
2010-03-17,10H30,800-899,LIVE OAK,Theft,COMMERCIAL PARKING LOT/GARAGE,1.0,18.0,17,Wednesday,Mar,2010
2010-03-19,10H30,600-699,ST EMANUEL,Theft,APARTMENT PARKING LOT,1.0,16.0,19,Friday,Mar,2010
2010-03-20,10H30,2000-2099,MCKINNEY,Theft,ROAD/STREET/SIDEWALK,1.0,0.0,20,Saturday,Mar,2010
2010-03-20,10H30,400-499,DOWLING,Robbery,OTHER/UNKNOWN,1.0,18.0,20,Saturday,Mar,2010
2010-03-20,10H30,2200-2299,DALLAS,Theft,OTHER PARKING LOT,1.0,12.0,20,Saturday,Mar,2010
2010-03-20,10H30,2000-2099,LEELAND,Burglary,VACANT BUILDING (COMMERCIAL),1.0,0.0,20,Saturday,Mar,2010
2010-03-21,10H30,2000-2099,COMMERCE,Theft,BAR/NIGHT CLUB,1.0,0.0,21,Sunday,Mar,2010
2010-03-22,10H30,400-499,DOWLING,Theft,SOCIAL SERVICES/PUBLIC CHARITIES,1.0,14.0,22,Monday,Mar,2010
2010-03-22,10H30,900-999,LIVE OAK,Burglary,MISC. BUSINESS (NON-SPECIFIC),1.0,18.0,22,Monday,Mar,2010
2010-03-23,10H30,2800-2899,BELL,Theft,ROAD/STREET/SIDEWALK,1.0,15.0,23,Tuesday,Mar,2010
2010-03-23,10H30,2200-2299,PEASE,Burglary,"VACANT SINGLE OCCUPANCY RESIDENCE (HOUSES,TOWNHOUSES,DUPLEXES, ETC.)",1.0,9.0,23,Tuesday,Mar,2010
2010-03-24,10H30,1700-1799,ENNIS,Theft,OTHER PARKING LOT,1.0,12.0,24,Wednesday,Mar,2010
2010-03-25,10H30,1200-1299,RUSK,Theft,GOVERNMENT/PUBLIC BUILDING,1.0,20.0,25,Thursday,Mar,2010
2010-03-26,10H30,3100-3199,BELL,Burglary,RESIDENCE/HOUSE,1.0,18.0,26,Friday,Mar,2010
2010-03-27,10H30,2900-2999,PEASE,Theft,ROAD/STREET/SIDEWALK,1.0,21.0,27,Saturday,Mar,2010
2010-03-27,10H30,2300-2399,MCKINNEY,Theft,OTHER/UNKNOWN,1.0,14.0,27,Saturday,Mar,2010
2010-03-28,10H30,2000-2099,COMMERCE,Theft,BAR/NIGHT CLUB,1.0,1.0,28,Sunday,Mar,2010
2010-03-29,10H30,2300-2399,MCKINNEY,Theft,ROAD/STREET/SIDEWALK,1.0,4.0,29,Monday,Mar,2010
2010-03-29,10H30,1500-1599,PAIGE,Theft,DRIVEWAY,1.0,1.0,29,Monday,Mar,2010
2010-03-30,10H30,800-899,ST EMANUEL,Theft,ROAD/STREET/SIDEWALK,1.0,19.0,30,Tuesday,Mar,2010
2010-03-30,10H30,800-899,PAIGE,Theft,ROAD/STREET/SIDEWALK,1.0,19.0,30,Tuesday,Mar,2010
2010-03-30,10H30,1600-1699,NAGLE,Theft,ROAD/STREET/SIDEWALK,1.0,21.0,30,Tuesday,Mar,2010
2010-03-31,10H30,1500-1599,NAGLE,Burglary,"VACANT SINGLE OCCUPANCY RESIDENCE (HOUSES,TOWNHOUSES,DUPLEXES, ETC.)",1.0,18.0,31,Wednesday,Mar,2010
2010-04-02,10H30,2000-2099,LAMAR,Auto Theft,AUTO REPAIR,1.0,12.0,2,Friday,Apr,2010
2010-04-02,10H30,900-999,LIVE OAK,Theft,ROAD/STREET/SIDEWALK,1.0,22.0,2,Friday,Apr,2010
2010-04-02,10H30,2800-2899,CAPITOL,Theft,OTHER PARKING LOT,1.0,13.0,2,Friday,Apr,2010
2010-04-04,10H30,2200-2299,DALLAS,Theft,APARTMENT,1.0,10.0,4,Sunday,Apr,2010
2010-04-04,10H30,2000-2099,CONGRESS,Theft,SOCIAL SERVICES/PUBLIC CHARITIES,1.0,6.0,4,Sunday,Apr,2010
2010-04-05,10H30,2100-2199,CAPITOL,Auto Theft,ROAD/STREET/SIDEWALK,1.0,14.0,5,Monday,Apr,2010
2010-04-05,10H30,400-499,BASTROP,Auto Theft,OTHER PARKING LOT,1.0,13.0,5,Monday,Apr,2010
2010-04-05,10H30,800-899,ST EMANUEL,Auto Theft,STRIP BUSINESS CENTER PARKING LOT,1.0,21.0,5,Monday,Apr,2010
2010-04-06,10H30,2100-2199,TEXAS,Auto Theft,COMMERCIAL PARKING LOT/GARAGE,1.0,13.0,6,Tuesday,Apr,2010
2010-04-06,10H30,1900-1999,SCOTT,Robbery,ROAD/STREET/SIDEWALK,1.0,5.0,6,Tuesday,Apr,2010
2010-04-07,10H30,1900-1999,RUSK,Theft,ROAD/STREET/SIDEWALK,1.0,8.0,7,Wednesday,Apr,2010
2010-04-08,10H30,1500-1599,PAIGE,Theft,ROAD/STREET/SIDEWALK,1.0,7.0,8,Thursday,Apr,2010
2010-04-08,10H30,1600-1699,EDMUNDSON,Burglary,FACTORY/MANUFACTURING/INDUSTRIAL,1.0,17.0,8,Thursday,Apr,2010
2010-04-09,10H30,3400-3499,DALLAS,Theft,APARTMENT PARKING LOT,1.0,23.0,9,Friday,Apr,2010
2010-04-10,10H30,700-799,NAGLE,Theft,CONSTRUCTION SITE,1.0,20.0,10,Saturday,Apr,2010
2010-04-12,10H30,400-499,DOWLING,Theft,OTHER/UNKNOWN,1.0,21.0,12,Monday,Apr,2010
2010-04-12,10H30,2300-2399,MCKINNEY,Aggravated Assault,OTHER/UNKNOWN,1.0,21.0,12,Monday,Apr,2010
2010-04-16,10H30,2700-2799,MCKINNEY,Burglary,OTHER/UNKNOWN,1.0,16.0,16,Friday,Apr,2010
2010-04-17,10H30,2000-2099,COMMERCE,Auto Theft,ROAD/STREET/SIDEWALK,1.0,23.0,17,Saturday,Apr,2010
2010-04-17,10H30,2700-2799,DALLAS,Aggravated Assault,ROAD/STREET/SIDEWALK,1.0,1.0,17,Saturday,Apr,2010
2010-04-19,10H30,3400-3499,PEASE,Burglary,RESIDENCE/HOUSE,1.0,12.0,19,Monday,Apr,2010
2010-04-20,10H30,2400-2499,POLK,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,23.0,20,Tuesday,Apr,2010
2010-04-20,10H30,2100-2199,CONGRESS,Theft,COMMERCIAL PARKING LOT/GARAGE,1.0,22.0,20,Tuesday,Apr,2010
2010-04-21,10H30,2000-2099,MCKINNEY,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,0.0,21,Wednesday,Apr,2010
2010-04-21,10H30,2100-2199,FRANKLIN,Theft,OTHER/UNKNOWN,1.0,12.0,21,Wednesday,Apr,2010
2010-04-22,10H30,2900-2999,MCKINNEY,Auto Theft,ROAD/STREET/SIDEWALK,1.0,8.0,22,Thursday,Apr,2010
2010-04-22,10H30,2000-2099,TEXAS,Theft,APARTMENT PARKING LOT,1.0,8.0,22,Thursday,Apr,2010
2010-04-24,10H30,900-999,CHARTRES,Auto Theft,ROAD/STREET/SIDEWALK,1.0,18.0,24,Saturday,Apr,2010
2010-04-24,10H30,2000-2099,COMMERCE,Auto Theft,ROAD/STREET/SIDEWALK,1.0,15.0,24,Saturday,Apr,2010
2010-04-24,10H30,2000-2099,COMMERCE,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,0.0,24,Saturday,Apr,2010
2010-04-25,10H30,3400-3499,LAMAR,Theft,DRIVEWAY,1.0,21.0,25,Sunday,Apr,2010
2010-04-25,10H30,2700-2799,CLAY,Theft,DRIVEWAY,1.0,17.0,25,Sunday,Apr,2010
2010-04-25,10H30,2000-2099,LEELAND,Theft,ROAD/STREET/SIDEWALK,1.0,0.0,25,Sunday,Apr,2010
2010-04-25,10H30,1500-1599,HUTCHINS,Theft,ROAD/STREET/SIDEWALK,1.0,1.0,25,Sunday,Apr,2010
2010-04-25,10H30,1500-1599,HUTCHINS,Theft,ROAD/STREET/SIDEWALK,1.0,0.0,25,Sunday,Apr,2010
2010-04-27,10H30,1900-1999,RUSK,Theft,OTHER PARKING LOT,1.0,0.0,27,Tuesday,Apr,2010
2010-04-27,10H30,2200-2299,WALKER,Theft,OTHER PARKING LOT,1.0,18.0,27,Tuesday,Apr,2010
2010-04-27,10H30,1500-1599,CHARTRES,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,19.0,27,Tuesday,Apr,2010
2010-04-28,10H30,2000-2099,LAMAR,Theft,ROAD/STREET/SIDEWALK,1.0,0.0,28,Wednesday,Apr,2010
2010-04-30,10H30,3600-3699,POLK,Burglary,OFFICE BUILDING,1.0,4.0,30,Friday,Apr,2010
2010-04-30,10H30,2000-2099,COMMERCE,Burglary,BAR/NIGHT CLUB,1.0,11.0,30,Friday,Apr,2010
2010-04-30,10H30,900-999,LIVE OAK,Auto Theft,ROAD/STREET/SIDEWALK,1.0,12.0,30,Friday,Apr,2010
2010-05-01,10H30,1600-1699,NAGLE,Theft,DRIVEWAY,1.0,23.0,1,Saturday,May,2010
2010-05-01,10H30,2000-2099,LEELAND,Murder,ROAD/STREET/SIDEWALK,1.0,0.0,1,Saturday,May,2010
2010-05-02,10H30,1800-1899,SCOTT,Auto Theft,DRIVEWAY,1.0,10.0,2,Sunday,May,2010
2010-05-03,10H30,1100-1199,ST EMANUEL,Rape,FIELD/WOODS,1.0,4.0,3,Monday,May,2010
2010-05-04,10H30,1900-1999,TEXAS,Theft,OTHER PARKING LOT,1.0,14.0,4,Tuesday,May,2010
2010-05-05,10H30,1000-1099,ST EMANUEL,Theft,GROCERY/SUPERMARKET PARKING LOT,1.0,12.0,5,Wednesday,May,2010
2010-05-05,10H30,2600-2699,LEELAND,Theft,CONSTRUCTION SITE,1.0,18.0,5,Wednesday,May,2010
2010-05-05,10H30,2400-2499,PEASE,Aggravated Assault,ROAD/STREET/SIDEWALK,1.0,21.0,5,Wednesday,May,2010
2010-05-08,10H30,1600-1699,DOWLING,Theft,OTHER PARKING LOT,1.0,10.0,8,Saturday,May,2010
2010-05-08,10H30,3000-3099,LAMAR,Burglary,VACANT BUILDING (COMMERCIAL),1.0,16.0,8,Saturday,May,2010
2010-05-08,10H30,800-899,ST EMANUEL,Theft,BAR/NIGHT CLUB,1.0,23.0,8,Saturday,May,2010
2010-05-08,10H30,600-699,BASTROP,Theft,ROAD/STREET/SIDEWALK,1.0,19.0,8,Saturday,May,2010
