G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
29,"Tue, Dec 20, 2016",8:00p ET,,Box Score,,San Antonio Spurs,L,,100,102,21,8,L 1,
30,"Wed, Dec 21, 2016",9:00p ET,,Box Score,@,Phoenix Suns,W,,125,111,22,8,W 1,
31,"Fri, Dec 23, 2016",8:00p ET,,Box Score,@,Memphis Grizzlies,L,,109,115,22,9,L 1,
32,"Mon, Dec 26, 2016",8:00p ET,,Box Score,,Phoenix Suns,W,,131,115,23,9,W 1,
33,"Tue, Dec 27, 2016",8:30p ET,,Box Score,@,Dallas Mavericks,W,,123,107,24,9,W 2,
34,"Fri, Dec 30, 2016",8:00p ET,,Box Score,,Los Angeles Clippers,W,,140,116,25,9,W 3,
35,"Sat, Dec 31, 2016",8:00p ET,,Box Score,,New York Knicks,W,,129,122,26,9,W 4,
36,"Mon, Jan 2, 2017",8:00p ET,,Box Score,,Washington Wizards,W,,101,91,27,9,W 5,
37,"Thu, Jan 5, 2017",8:00p ET,,Box Score,,Oklahoma City Thunder,W,,118,116,28,9,W 6,
38,"Fri, Jan 6, 2017",7:00p ET,,Box Score,@,Orlando Magic,W,,100,93,29,9,W 7,
39,"Sun, Jan 8, 2017",6:00p ET,,Box Score,@,Toronto Raptors,W,,129,122,30,9,W 8,
40,"Tue, Jan 10, 2017",8:00p ET,,Box Score,,Charlotte Hornets,W,,121,114,31,9,W 9,
41,"Wed, Jan 11, 2017",8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,105,119,31,10,L 1,
42,"Fri, Jan 13, 2017",8:00p ET,,Box Score,,Memphis Grizzlies,L,,105,110,31,11,L 2,
43,"Sun, Jan 15, 2017",6:00p ET,,Box Score,@,Brooklyn Nets,W,,137,112,32,11,W 1,
44,"Tue, Jan 17, 2017",7:30p ET,,Box Score,@,Miami Heat,L,,103,109,32,12,L 1,
45,"Wed, Jan 18, 2017",8:00p ET,,Box Score,,Milwaukee Bucks,W,,111,92,33,12,W 1,
46,"Fri, Jan 20, 2017",8:00p ET,,Box Score,,Golden State Warriors,L,,108,125,33,13,L 1,
47,"Sat, Jan 21, 2017",8:00p ET,,Box Score,@,Memphis Grizzlies,W,,119,95,34,13,W 1,
48,"Mon, Jan 23, 2017",8:00p ET,,Box Score,@,Milwaukee Bucks,L,,114,127,34,14,L 1,
49,"Wed, Jan 25, 2017",7:30p ET,,Box Score,@,Boston Celtics,L,,109,120,34,15,L 2,
50,"Fri, Jan 27, 2017",8:00p ET,,Box Score,@,Philadelphia 76ers,W,,123,118,35,15,W 1,
51,"Sun, Jan 29, 2017",6:00p ET,,Box Score,@,Indiana Pacers,L,,101,120,35,16,L 1,
52,"Tue, Jan 31, 2017",8:00p ET,,Box Score,,Sacramento Kings,W,,105,83,36,16,W 1,
53,"Thu, Feb 2, 2017",8:00p ET,,Box Score,,Atlanta Hawks,L,,108,113,36,17,L 1,
54,"Fri, Feb 3, 2017",8:00p ET,,Box Score,,Chicago Bulls,W,OT,121,117,37,17,W 1,
55,"Tue, Feb 7, 2017",8:00p ET,,Box Score,,Orlando Magic,W,,128,104,38,17,W 2,
56,"Thu, Feb 9, 2017",7:00p ET,,Box Score,@,Charlotte Hornets,W,,107,95,39,17,W 3,
57,"Sat, Feb 11, 2017",9:00p ET,,Box Score,,Phoenix Suns,W,,133,102,40,17,W 4,
58,"Wed, Feb 15, 2017",8:00p ET,,Box Score,,Miami Heat,L,,109,117,40,18,L 1,
59,"Thu, Feb 23, 2017",8:00p ET,,Box Score,@,New Orleans Pelicans,W,,129,99,41,18,W 1,
60,"Sat, Feb 25, 2017",9:00p ET,,Box Score,,Minnesota Timberwolves,W,,142,130,42,18,W 2,
61,"Mon, Feb 27, 2017",9:30p ET,,Box Score,,Indiana Pacers,L,,108,117,42,19,L 1,
62,"Wed, Mar 1, 2017",10:30p ET,,Box Score,@,Los Angeles Clippers,W,,122,103,43,19,W 1,
63,"Sat, Mar 4, 2017",9:00p ET,,Box Score,,Memphis Grizzlies,W,,123,108,44,19,W 2,
64,"Mon, Mar 6, 2017",8:30p ET,,Box Score,@,San Antonio Spurs,L,,110,112,44,20,L 1,
65,"Wed, Mar 8, 2017",8:00p ET,,Box Score,,Utah Jazz,L,,108,115,44,21,L 2,
66,"Fri, Mar 10, 2017",8:00p ET,,Box Score,@,Chicago Bulls,W,,115,94,45,21,W 1,
67,"Sun, Mar 12, 2017",9:00p ET,,Box Score,,Cleveland Cavaliers,W,,117,112,46,21,W 2,
68,"Wed, Mar 15, 2017",8:00p ET,,Box Score,,Los Angeles Lakers,W,,139,100,47,21,W 3,
69,"Fri, Mar 17, 2017",8:00p ET,,Box Score,@,New Orleans Pelicans,L,,112,128,47,22,L 1,
70,"Sat, Mar 18, 2017",9:30p ET,,Box Score,@,Denver Nuggets,W,,109,105,48,22,W 1,
71,"Mon, Mar 20, 2017",8:00p ET,,Box Score,,Denver Nuggets,W,,125,124,49,22,W 2,
72,"Fri, Mar 24, 2017",8:00p ET,,Box Score,,New Orleans Pelicans,W,,117,107,50,22,W 3,
73,"Sun, Mar 26, 2017",3:30p ET,,Box Score,,Oklahoma City Thunder,W,,137,125,51,22,W 4,
74,"Tue, Mar 28, 2017",8:00p ET,,Box Score,,Golden State Warriors,L,,106,113,51,23,L 1,
75,"Thu, Mar 30, 2017",10:30p ET,,Box Score,@,Portland Trail Blazers,L,,107,117,51,24,L 2,
76,"Fri, Mar 31, 2017",10:30p ET,,Box Score,@,Golden State Warriors,L,,98,107,51,25,L 3,
77,"Sun, Apr 2, 2017",9:00p ET,,Box Score,@,Phoenix Suns,W,,123,116,52,25,W 1,
78,"Wed, Apr 5, 2017",8:00p ET,,Box Score,,Denver Nuggets,W,,110,104,53,25,W 2,
79,"Fri, Apr 7, 2017",8:00p ET,,Box Score,,Detroit Pistons,L,,109,114,53,26,L 1,
80,"Sun, Apr 9, 2017",6:00p ET,,Box Score,@,Sacramento Kings,W,,135,128,54,26,W 1,
81,"Mon, Apr 10, 2017",10:30p ET,,Box Score,@,Los Angeles Clippers,L,,96,125,54,27,L 1,
82,"Wed, Apr 12, 2017",8:00p ET,,Box Score,,Minnesota Timberwolves,W,,123,118,55,27,W 1,
