Date,Season,home,hgoal,visitor,vgoal,winner
2009-04-12,2009,Seattle Sounders,0,Sporting Kansas City,1,Sporting Kansas City
2009-04-17,2009,DC United,1,New England Revolution,1,New England Revolution
2009-04-18,2009,New York Red Bulls,2,Real Salt Lake,0,New York Red Bulls
2009-04-18,2009,Chicago Fire,2,Sporting Kansas City,2,Sporting Kansas City
2009-04-19,2009,San Jose Earthquakes,1,LA Galaxy,1,LA Galaxy
2009-04-19,2009,CD Chivas USA,2,Seattle Sounders,0,CD Chivas USA
2009-04-19,2009,Houston Dynamo,1,Colorado Rapids,0,Houston Dynamo
2009-04-19,2009,FC Dallas,3,Toronto FC,2,FC Dallas
2009-04-22,2009,Toronto FC,1,CD Chivas USA,0,Toronto FC
2009-04-23,2009,Sporting Kansas City,1,New York Red Bulls,0,Sporting Kansas City
2009-04-25,2009,Columbus Crew,2,Chicago Fire,2,Chicago Fire
2009-04-25,2009,Real Salt Lake,6,New England Revolution,0,Real Salt Lake
2009-04-25,2009,Colorado Rapids,1,LA Galaxy,1,LA Galaxy
2009-04-26,2009,CD Chivas USA,2,FC Dallas,0,CD Chivas USA
2009-04-26,2009,Seattle Sounders,2,San Jose Earthquakes,0,Seattle Sounders
2009-04-26,2009,New York Red Bulls,2,DC United,3,DC United
2009-04-26,2009,Toronto FC,1,Sporting Kansas City,0,Toronto FC
2009-05-02,2009,Toronto FC,1,Columbus Crew,1,Columbus Crew
2009-05-02,2009,DC United,2,FC Dallas,1,DC United
2009-05-02,2009,Chicago Fire,1,Seattle Sounders,1,Seattle Sounders
2009-05-02,2009,Colorado Rapids,2,Real Salt Lake,0,Colorado Rapids
2009-05-03,2009,San Jose Earthquakes,0,CD Chivas USA,1,CD Chivas USA
2009-05-03,2009,LA Galaxy,1,New York Red Bulls,0,LA Galaxy
2009-05-03,2009,New England Revolution,0,Houston Dynamo,2,Houston Dynamo
2009-05-06,2009,Sporting Kansas City,1,DC United,1,DC United
2009-05-06,2009,Real Salt Lake,2,LA Galaxy,2,LA Galaxy
2009-05-08,2009,New York Red Bulls,4,San Jose Earthquakes,1,New York Red Bulls
2009-05-09,2009,Columbus Crew,3,Sporting Kansas City,2,Columbus Crew
2009-05-09,2009,DC United,3,Toronto FC,3,Toronto FC
2009-05-09,2009,Chicago Fire,1,New England Revolution,1,New England Revolution
2009-05-09,2009,Houston Dynamo,1,FC Dallas,0,Houston Dynamo
2009-05-10,2009,CD Chivas USA,1,Real Salt Lake,0,CD Chivas USA
2009-05-10,2009,Seattle Sounders,1,LA Galaxy,1,LA Galaxy
2009-05-16,2009,Toronto FC,0,Chicago Fire,2,Chicago Fire
2009-05-16,2009,New England Revolution,1,Colorado Rapids,1,Colorado Rapids
2009-05-16,2009,New York Red Bulls,1,Houston Dynamo,1,Houston Dynamo
2009-05-16,2009,FC Dallas,1,Seattle Sounders,1,Seattle Sounders
2009-05-16,2009,Real Salt Lake,0,Sporting Kansas City,2,Sporting Kansas City
2009-05-17,2009,CD Chivas USA,2,DC United,2,DC United
2009-05-17,2009,LA Galaxy,1,Columbus Crew,1,Columbus Crew
2009-05-23,2009,Toronto FC,3,New England Revolution,1,Toronto FC
2009-05-23,2009,DC United,0,Real Salt Lake,0,Real Salt Lake
2009-05-23,2009,Sporting Kansas City,1,CD Chivas USA,1,CD Chivas USA
2009-05-23,2009,Houston Dynamo,3,San Jose Earthquakes,1,Houston Dynamo
2009-05-23,2009,FC Dallas,1,LA Galaxy,1,LA Galaxy
2009-05-23,2009,Colorado Rapids,2,Seattle Sounders,2,Seattle Sounders
2009-05-24,2009,New York Red Bulls,0,Chicago Fire,1,Chicago Fire
2009-05-27,2009,Columbus Crew,2,San Jose Earthquakes,1,Columbus Crew
2009-05-29,2009,CD Chivas USA,2,Chicago Fire,3,Chicago Fire
2009-05-30,2009,New York Red Bulls,2,Colorado Rapids,3,Colorado Rapids
2009-05-30,2009,New England Revolution,2,DC United,1,New England Revolution
2009-05-30,2009,Houston Dynamo,3,Toronto FC,0,Houston Dynamo
2009-05-31,2009,Seattle Sounders,1,Columbus Crew,1,Columbus Crew
2009-05-31,2009,LA Galaxy,1,Sporting Kansas City,1,Sporting Kansas City
2009-05-31,2009,San Jose Earthquakes,2,Real Salt Lake,1,San Jose Earthquakes
2009-05-31,2009,Chicago Fire,0,FC Dallas,3,FC Dallas
2009-06-04,2009,DC United,2,New York Red Bulls,0,DC United
2009-06-05,2009,Chicago Fire,0,Houston Dynamo,1,Houston Dynamo
2009-06-06,2009,Toronto FC,1,LA Galaxy,2,LA Galaxy
2009-06-06,2009,Sporting Kansas City,0,Columbus Crew,2,Columbus Crew
2009-06-07,2009,Real Salt Lake,1,Colorado Rapids,1,Colorado Rapids
2009-06-07,2009,CD Chivas USA,1,Seattle Sounders,0,CD Chivas USA
2009-06-07,2009,FC Dallas,2,San Jose Earthquakes,2,San Jose Earthquakes
2009-06-07,2009,New England Revolution,4,New York Red Bulls,0,New England Revolution
2009-06-10,2009,Houston Dynamo,1,CD Chivas USA,0,Houston Dynamo
2009-06-13,2009,DC United,2,Chicago Fire,1,DC United
2009-06-13,2009,Toronto FC,2,New York Red Bulls,1,Toronto FC
2009-06-13,2009,FC Dallas,1,Houston Dynamo,3,Houston Dynamo
2009-06-13,2009,Sporting Kansas City,3,New England Revolution,1,Sporting Kansas City
2009-06-14,2009,LA Galaxy,0,Real Salt Lake,2,Real Salt Lake
2009-06-14,2009,Seattle Sounders,2,San Jose Earthquakes,1,Seattle Sounders
2009-06-14,2009,Columbus Crew,2,CD Chivas USA,1,Columbus Crew
2009-06-18,2009,Seattle Sounders,3,DC United,3,DC United
2009-06-20,2009,San Jose Earthquakes,2,LA Galaxy,1,San Jose Earthquakes
2009-06-20,2009,New York Red Bulls,1,Seattle Sounders,1,Seattle Sounders
2009-06-20,2009,FC Dallas,2,Columbus Crew,1,FC Dallas
2009-06-20,2009,Houston Dynamo,1,Real Salt Lake,1,Real Salt Lake
2009-06-20,2009,Colorado Rapids,3,DC United,0,Colorado Rapids
2009-06-24,2009,Toronto FC,2,New York Red Bulls,0,Toronto FC
2009-06-24,2009,Colorado Rapids,1,FC Dallas,1,FC Dallas
2009-06-27,2009,Columbus Crew,1,New York Red Bulls,0,Columbus Crew
2009-06-27,2009,Real Salt Lake,3,Toronto FC,0,Real Salt Lake
2009-06-28,2009,Seattle Sounders,3,Colorado Rapids,0,Seattle Sounders
2009-06-29,2009,LA Galaxy,1,Houston Dynamo,0,LA Galaxy
2009-07-04,2009,Real Salt Lake,1,San Jose Earthquakes,1,San Jose Earthquakes
2009-07-04,2009,Columbus Crew,1,DC United,1,DC United
2009-07-04,2009,Sporting Kansas City,0,Houston Dynamo,1,Houston Dynamo
2009-07-04,2009,Colorado Rapids,1,Chicago Fire,2,Chicago Fire
2009-07-04,2009,FC Dallas,2,New York Red Bulls,1,FC Dallas
2009-07-05,2009,LA Galaxy,1,New England Revolution,0,LA Galaxy
2009-07-11,2009,Seattle Sounders,2,Houston Dynamo,1,Seattle Sounders
2009-07-11,2009,New England Revolution,0,Sporting Kansas City,0,Sporting Kansas City
2009-07-11,2009,Chicago Fire,0,Columbus Crew,0,Columbus Crew
2009-07-11,2009,Colorado Rapids,1,FC Dallas,0,Colorado Rapids
2009-07-12,2009,San Jose Earthquakes,1,Toronto FC,3,Toronto FC
2009-07-12,2009,CD Chivas USA,0,LA Galaxy,1,LA Galaxy
2009-07-16,2009,New York Red Bulls,1,LA Galaxy,3,LA Galaxy
2009-07-18,2009,Toronto FC,1,Houston Dynamo,1,Houston Dynamo
2009-07-18,2009,DC United,3,Colorado Rapids,1,DC United
2009-07-18,2009,Columbus Crew,3,Real Salt Lake,1,Columbus Crew
2009-07-18,2009,Chicago Fire,2,San Jose Earthquakes,0,Chicago Fire
2009-07-19,2009,New England Revolution,2,CD Chivas USA,0,New England Revolution
2009-07-25,2009,Real Salt Lake,4,FC Dallas,2,Real Salt Lake
2009-07-25,2009,Seattle Sounders,0,Chicago Fire,0,Chicago Fire
2009-07-25,2009,Columbus Crew,3,Toronto FC,2,Columbus Crew
2009-07-25,2009,Houston Dynamo,0,New England Revolution,1,New England Revolution
2009-07-25,2009,Sporting Kansas City,1,LA Galaxy,1,LA Galaxy
2009-07-25,2009,Colorado Rapids,4,New York Red Bulls,0,Colorado Rapids
2009-07-26,2009,San Jose Earthquakes,2,DC United,2,DC United
2009-08-01,2009,New England Revolution,1,Toronto FC,1,Toronto FC
2009-08-01,2009,Houston Dynamo,4,DC United,3,Houston Dynamo
2009-08-01,2009,FC Dallas,6,Sporting Kansas City,0,FC Dallas
2009-08-01,2009,Chicago Fire,1,Real Salt Lake,0,Chicago Fire
2009-08-01,2009,Colorado Rapids,0,Columbus Crew,1,Columbus Crew
2009-08-02,2009,San Jose Earthquakes,4,Seattle Sounders,0,San Jose Earthquakes
2009-08-06,2009,FC Dallas,1,Houston Dynamo,0,FC Dallas
2009-08-08,2009,New England Revolution,1,LA Galaxy,2,LA Galaxy
2009-08-08,2009,San Jose Earthquakes,0,Columbus Crew,3,Columbus Crew
2009-08-08,2009,Real Salt Lake,1,Seattle Sounders,0,Real Salt Lake
2009-08-08,2009,Colorado Rapids,4,CD Chivas USA,0,Colorado Rapids
2009-08-09,2009,Houston Dynamo,3,Chicago Fire,2,Houston Dynamo
2009-08-15,2009,Toronto FC,2,DC United,0,Toronto FC
2009-08-15,2009,New York Red Bulls,0,CD Chivas USA,2,CD Chivas USA
2009-08-15,2009,Columbus Crew,2,FC Dallas,0,Columbus Crew
2009-08-15,2009,Real Salt Lake,0,Houston Dynamo,0,Houston Dynamo
2009-08-16,2009,LA Galaxy,0,Seattle Sounders,2,Seattle Sounders
2009-08-16,2009,Sporting Kansas City,0,Chicago Fire,2,Chicago Fire
2009-08-19,2009,Chicago Fire,0,LA Galaxy,2,LA Galaxy
2009-08-21,2009,Seattle Sounders,0,New England Revolution,1,New England Revolution
2009-08-22,2009,DC United,0,LA Galaxy,0,LA Galaxy
2009-08-23,2009,San Jose Earthquakes,1,Sporting Kansas City,0,San Jose Earthquakes
2009-08-23,2009,CD Chivas USA,2,Toronto FC,0,CD Chivas USA
2009-08-23,2009,New York Red Bulls,3,FC Dallas,2,New York Red Bulls
2009-08-23,2009,Chicago Fire,3,Colorado Rapids,2,Chicago Fire
2009-08-23,2009,New England Revolution,3,Real Salt Lake,1,New England Revolution
2009-08-23,2009,Houston Dynamo,1,Seattle Sounders,1,Seattle Sounders
2009-08-26,2009,Real Salt Lake,4,CD Chivas USA,0,Real Salt Lake
2009-08-29,2009,Seattle Sounders,0,Toronto FC,0,Toronto FC
2009-08-29,2009,New England Revolution,2,San Jose Earthquakes,1,New England Revolution
2009-08-29,2009,Chicago Fire,0,DC United,1,DC United
2009-08-29,2009,Sporting Kansas City,0,Real Salt Lake,1,Real Salt Lake
2009-08-30,2009,LA Galaxy,1,CD Chivas USA,0,LA Galaxy
2009-08-30,2009,Colorado Rapids,1,Houston Dynamo,0,Colorado Rapids
2009-08-30,2009,New York Red Bulls,1,Columbus Crew,0,New York Red Bulls
2009-09-05,2009,New England Revolution,2,Sporting Kansas City,4,Sporting Kansas City
2009-09-05,2009,FC Dallas,2,DC United,2,DC United
2009-09-06,2009,Colorado Rapids,1,Toronto FC,0,Colorado Rapids
2009-09-09,2009,DC United,1,Sporting Kansas City,0,DC United
2009-09-12,2009,Toronto FC,3,Colorado Rapids,2,Toronto FC
2009-09-12,2009,New York Red Bulls,0,Sporting Kansas City,1,Sporting Kansas City
2009-09-12,2009,DC United,1,Seattle Sounders,2,Seattle Sounders
2009-09-12,2009,Real Salt Lake,1,Chicago Fire,1,Chicago Fire
2009-09-13,2009,LA Galaxy,3,FC Dallas,6,FC Dallas
2009-09-13,2009,CD Chivas USA,2,New England Revolution,0,CD Chivas USA
2009-09-13,2009,Columbus Crew,2,Houston Dynamo,1,Columbus Crew
2009-09-18,2009,New York Red Bulls,1,New England Revolution,1,New England Revolution
2009-09-19,2009,San Jose Earthquakes,1,Colorado Rapids,1,Colorado Rapids
2009-09-19,2009,Seattle Sounders,0,CD Chivas USA,0,CD Chivas USA
2009-09-19,2009,Houston Dynamo,3,Real Salt Lake,2,Houston Dynamo
2009-09-19,2009,Sporting Kansas City,3,FC Dallas,2,Sporting Kansas City
2009-09-20,2009,LA Galaxy,2,Toronto FC,0,LA Galaxy
2009-09-20,2009,Chicago Fire,2,Columbus Crew,2,Columbus Crew
2009-09-23,2009,Colorado Rapids,1,San Jose Earthquakes,1,San Jose Earthquakes
2009-09-26,2009,Columbus Crew,2,LA Galaxy,0,Columbus Crew
2009-09-26,2009,New England Revolution,2,Seattle Sounders,1,New England Revolution
2009-09-26,2009,Sporting Kansas City,0,Colorado Rapids,0,Colorado Rapids
2009-09-26,2009,FC Dallas,3,Real Salt Lake,0,FC Dallas
2009-09-26,2009,Chicago Fire,2,Toronto FC,2,Toronto FC
2009-09-27,2009,CD Chivas USA,1,New York Red Bulls,1,New York Red Bulls
2009-09-27,2009,DC United,1,San Jose Earthquakes,2,San Jose Earthquakes
2009-09-30,2009,FC Dallas,1,New England Revolution,0,FC Dallas
2009-10-03,2009,LA Galaxy,1,Chicago Fire,0,LA Galaxy
2009-10-03,2009,DC United,0,CD Chivas USA,2,CD Chivas USA
2009-10-03,2009,Columbus Crew,0,Seattle Sounders,1,Seattle Sounders
2009-10-03,2009,Colorado Rapids,1,New England Revolution,1,New England Revolution
2009-10-04,2009,San Jose Earthquakes,1,New York Red Bulls,0,San Jose Earthquakes
2009-10-04,2009,Houston Dynamo,1,Sporting Kansas City,1,Sporting Kansas City
2009-10-08,2009,San Jose Earthquakes,1,FC Dallas,2,FC Dallas
2009-10-10,2009,Toronto FC,1,San Jose Earthquakes,1,San Jose Earthquakes
2009-10-10,2009,New England Revolution,0,Columbus Crew,1,Columbus Crew
2009-10-11,2009,CD Chivas USA,2,Sporting Kansas City,0,CD Chivas USA
2009-10-15,2009,Real Salt Lake,2,New York Red Bulls,0,Real Salt Lake
2009-10-17,2009,Toronto FC,1,Real Salt Lake,0,Toronto FC
2009-10-17,2009,New England Revolution,0,Chicago Fire,0,Chicago Fire
2009-10-17,2009,DC United,1,Columbus Crew,0,DC United
2009-10-17,2009,FC Dallas,2,Colorado Rapids,1,FC Dallas
2009-10-17,2009,Sporting Kansas City,2,Seattle Sounders,3,Seattle Sounders
2009-10-18,2009,CD Chivas USA,2,San Jose Earthquakes,2,San Jose Earthquakes
2009-10-18,2009,Houston Dynamo,0,LA Galaxy,0,LA Galaxy
2009-10-22,2009,Chicago Fire,1,CD Chivas USA,0,Chicago Fire
2009-10-24,2009,New York Red Bulls,5,Toronto FC,0,New York Red Bulls
2009-10-24,2009,Sporting Kansas City,2,DC United,2,DC United
2009-10-24,2009,Real Salt Lake,3,Colorado Rapids,0,Real Salt Lake
2009-10-25,2009,Seattle Sounders,2,FC Dallas,1,Seattle Sounders
2009-10-25,2009,LA Galaxy,2,San Jose Earthquakes,0,LA Galaxy
2009-10-25,2009,CD Chivas USA,2,Houston Dynamo,3,Houston Dynamo
2009-10-25,2009,Columbus Crew,0,New England Revolution,1,New England Revolution
2009-10-29,2009,Seattle Sounders,0,Houston Dynamo,0,Houston Dynamo
2009-10-31,2009,Real Salt Lake,1,Columbus Crew,0,Real Salt Lake
2009-11-01,2009,New England Revolution,2,Chicago Fire,1,New England Revolution
2009-11-01,2009,CD Chivas USA,2,LA Galaxy,2,LA Galaxy
2009-11-05,2009,Columbus Crew,2,Real Salt Lake,3,Real Salt Lake
2009-11-07,2009,Chicago Fire,2,New England Revolution,0,Chicago Fire
2009-11-08,2009,Houston Dynamo,0,Seattle Sounders,0,Seattle Sounders
2009-11-08,2009,LA Galaxy,1,CD Chivas USA,0,LA Galaxy
2009-11-14,2009,LA Galaxy,0,Houston Dynamo,0,Houston Dynamo
2009-11-14,2009,Chicago Fire,0,Real Salt Lake,0,Real Salt Lake
2009-11-22,2009,LA Galaxy,1,Real Salt Lake,1,Real Salt Lake
2010-03-25,2010,Seattle Sounders,2,Philadelphia Union,0,Seattle Sounders
2010-03-27,2010,CD Chivas USA,0,Colorado Rapids,1,Colorado Rapids
2010-03-27,2010,Columbus Crew,2,Toronto FC,0,Columbus Crew
2010-03-27,2010,FC Dallas,1,Houston Dynamo,1,Houston Dynamo
2010-03-27,2010,New York Red Bulls,1,Chicago Fire,0,New York Red Bulls
2010-03-27,2010,Sporting Kansas City,4,DC United,0,Sporting Kansas City
2010-03-27,2010,San Jose Earthquakes,0,Real Salt Lake,3,Real Salt Lake
2010-03-28,2010,LA Galaxy,1,New England Revolution,0,LA Galaxy
2010-04-01,2010,Houston Dynamo,2,Real Salt Lake,1,Houston Dynamo
2010-04-02,2010,LA Galaxy,2,CD Chivas USA,0,LA Galaxy
2010-04-03,2010,Colorado Rapids,2,Chicago Fire,2,Chicago Fire
2010-04-03,2010,DC United,0,New England Revolution,2,New England Revolution
2010-04-04,2010,Seattle Sounders,0,New York Red Bulls,1,New York Red Bulls
2010-04-10,2010,CD Chivas USA,2,New York Red Bulls,0,CD Chivas USA
2010-04-10,2010,Philadelphia Union,3,DC United,2,Philadelphia Union
2010-04-10,2010,New England Revolution,4,Toronto FC,1,New England Revolution
2010-04-10,2010,FC Dallas,2,Columbus Crew,2,Columbus Crew
2010-04-10,2010,Houston Dynamo,0,LA Galaxy,2,LA Galaxy
2010-04-10,2010,Sporting Kansas City,1,Colorado Rapids,0,Sporting Kansas City
2010-04-10,2010,Chicago Fire,1,San Jose Earthquakes,2,San Jose Earthquakes
2010-04-10,2010,Real Salt Lake,2,Seattle Sounders,2,Seattle Sounders
2010-04-15,2010,Toronto FC,2,Philadelphia Union,1,Toronto FC
2010-04-17,2010,Seattle Sounders,1,Sporting Kansas City,0,Seattle Sounders
2010-04-17,2010,Houston Dynamo,3,CD Chivas USA,0,Houston Dynamo
2010-04-17,2010,DC United,0,Chicago Fire,2,Chicago Fire
2010-04-17,2010,New York Red Bulls,2,FC Dallas,1,New York Red Bulls
2010-04-18,2010,San Jose Earthquakes,2,New England Revolution,0,San Jose Earthquakes
2010-04-18,2010,LA Galaxy,2,Real Salt Lake,1,LA Galaxy
2010-04-18,2010,Colorado Rapids,3,Toronto FC,1,Colorado Rapids
2010-04-22,2010,FC Dallas,2,Seattle Sounders,2,Seattle Sounders
2010-04-24,2010,New York Red Bulls,2,Philadelphia Union,1,New York Red Bulls
2010-04-24,2010,Columbus Crew,1,Real Salt Lake,0,Columbus Crew
2010-04-24,2010,New England Revolution,1,Colorado Rapids,2,Colorado Rapids
2010-04-24,2010,Chicago Fire,2,Houston Dynamo,0,Chicago Fire
2010-04-24,2010,Sporting Kansas City,0,LA Galaxy,0,LA Galaxy
2010-04-25,2010,CD Chivas USA,3,San Jose Earthquakes,2,CD Chivas USA
2010-04-25,2010,Toronto FC,2,Seattle Sounders,0,Toronto FC
2010-05-01,2010,DC United,0,New York Red Bulls,2,New York Red Bulls
2010-05-01,2010,New England Revolution,1,FC Dallas,1,FC Dallas
2010-05-01,2010,Houston Dynamo,3,Sporting Kansas City,0,Houston Dynamo
2010-05-01,2010,Chicago Fire,1,CD Chivas USA,1,CD Chivas USA
2010-05-01,2010,Real Salt Lake,2,Toronto FC,1,Real Salt Lake
2010-05-02,2010,San Jose Earthquakes,1,Colorado Rapids,0,San Jose Earthquakes
2010-05-02,2010,LA Galaxy,3,Philadelphia Union,1,LA Galaxy
2010-05-02,2010,Seattle Sounders,1,Columbus Crew,1,Columbus Crew
2010-05-05,2010,DC United,2,Sporting Kansas City,1,DC United
2010-05-05,2010,New England Revolution,0,CD Chivas USA,4,CD Chivas USA
2010-05-05,2010,Houston Dynamo,0,FC Dallas,1,FC Dallas
2010-05-05,2010,Colorado Rapids,0,LA Galaxy,1,LA Galaxy
2010-05-08,2010,Seattle Sounders,0,LA Galaxy,4,LA Galaxy
2010-05-08,2010,Toronto FC,4,Chicago Fire,1,Toronto FC
2010-05-08,2010,Real Salt Lake,3,Philadelphia Union,0,Real Salt Lake
2010-05-08,2010,Columbus Crew,3,New England Revolution,2,Columbus Crew
2010-05-08,2010,FC Dallas,1,DC United,0,FC Dallas
2010-05-09,2010,San Jose Earthquakes,4,New York Red Bulls,0,San Jose Earthquakes
2010-05-09,2010,CD Chivas USA,0,Houston Dynamo,2,Houston Dynamo
2010-05-13,2010,Real Salt Lake,3,Houston Dynamo,1,Real Salt Lake
2010-05-15,2010,Philadelphia Union,1,FC Dallas,1,FC Dallas
2010-05-15,2010,New England Revolution,0,San Jose Earthquakes,0,San Jose Earthquakes
2010-05-15,2010,Columbus Crew,1,CD Chivas USA,0,Columbus Crew
2010-05-15,2010,DC United,0,Colorado Rapids,1,Colorado Rapids
2010-05-15,2010,New York Red Bulls,0,Seattle Sounders,1,Seattle Sounders
2010-05-15,2010,Sporting Kansas City,2,Chicago Fire,2,Chicago Fire
2010-05-16,2010,LA Galaxy,0,Toronto FC,0,Toronto FC
2010-05-20,2010,New York Red Bulls,1,Columbus Crew,3,Columbus Crew
2010-05-20,2010,FC Dallas,0,LA Galaxy,1,LA Galaxy
2010-05-22,2010,Toronto FC,1,New England Revolution,0,Toronto FC
2010-05-22,2010,Seattle Sounders,0,San Jose Earthquakes,1,San Jose Earthquakes
2010-05-22,2010,Houston Dynamo,2,DC United,0,Houston Dynamo
2010-05-23,2010,CD Chivas USA,1,Real Salt Lake,2,Real Salt Lake
2010-05-23,2010,Sporting Kansas City,0,Columbus Crew,1,Columbus Crew
2010-05-27,2010,Chicago Fire,1,FC Dallas,1,FC Dallas
2010-05-29,2010,Columbus Crew,0,LA Galaxy,2,LA Galaxy
2010-05-29,2010,DC United,3,CD Chivas USA,2,DC United
2010-05-29,2010,New England Revolution,3,New York Red Bulls,2,New England Revolution
2010-05-29,2010,Houston Dynamo,2,Philadelphia Union,3,Philadelphia Union
2010-05-29,2010,Colorado Rapids,1,Seattle Sounders,0,Colorado Rapids
2010-05-29,2010,Real Salt Lake,4,Sporting Kansas City,1,Real Salt Lake
2010-05-30,2010,San Jose Earthquakes,1,Toronto FC,3,Toronto FC
2010-06-02,2010,New York Red Bulls,2,Houston Dynamo,1,New York Red Bulls
2010-06-03,2010,San Jose Earthquakes,2,Columbus Crew,2,Columbus Crew
2010-06-05,2010,Toronto FC,0,Sporting Kansas City,0,Sporting Kansas City
2010-06-05,2010,DC United,0,Real Salt Lake,0,Real Salt Lake
2010-06-05,2010,New York Red Bulls,1,CD Chivas USA,0,New York Red Bulls
2010-06-05,2010,LA Galaxy,4,Houston Dynamo,1,LA Galaxy
2010-06-05,2010,Chicago Fire,2,Philadelphia Union,1,Chicago Fire
2010-06-05,2010,FC Dallas,2,San Jose Earthquakes,0,FC Dallas
2010-06-05,2010,Colorado Rapids,1,Columbus Crew,0,Colorado Rapids
2010-06-06,2010,Seattle Sounders,3,New England Revolution,0,Seattle Sounders
2010-06-09,2010,Chicago Fire,2,Colorado Rapids,2,Colorado Rapids
2010-06-09,2010,Real Salt Lake,1,LA Galaxy,0,Real Salt Lake
2010-06-10,2010,Sporting Kansas City,2,Philadelphia Union,0,Sporting Kansas City
2010-06-11,2010,Seattle Sounders,2,DC United,3,DC United
2010-06-25,2010,Real Salt Lake,0,San Jose Earthquakes,0,San Jose Earthquakes
2010-06-26,2010,Columbus Crew,2,DC United,0,Columbus Crew
2010-06-26,2010,Toronto FC,0,LA Galaxy,0,LA Galaxy
2010-06-26,2010,Houston Dynamo,2,Colorado Rapids,2,Colorado Rapids
2010-06-26,2010,Sporting Kansas City,0,New York Red Bulls,3,New York Red Bulls
2010-06-27,2010,CD Chivas USA,1,FC Dallas,2,FC Dallas
2010-06-27,2010,Philadelphia Union,3,Seattle Sounders,1,Philadelphia Union
2010-06-27,2010,New England Revolution,0,Chicago Fire,1,Chicago Fire
2010-07-01,2010,Toronto FC,1,Houston Dynamo,1,Houston Dynamo
2010-07-03,2010,Real Salt Lake,5,New England Revolution,0,Real Salt Lake
2010-07-03,2010,Columbus Crew,2,Chicago Fire,1,Columbus Crew
2010-07-03,2010,FC Dallas,1,Sporting Kansas City,0,FC Dallas
2010-07-04,2010,San Jose Earthquakes,1,DC United,1,DC United
2010-07-04,2010,CD Chivas USA,1,Philadelphia Union,1,Philadelphia Union
2010-07-04,2010,Colorado Rapids,1,New York Red Bulls,1,New York Red Bulls
2010-07-05,2010,LA Galaxy,3,Seattle Sounders,1,LA Galaxy
2010-07-08,2010,Chicago Fire,0,Real Salt Lake,1,Real Salt Lake
2010-07-10,2010,Toronto FC,1,Colorado Rapids,0,Toronto FC
2010-07-10,2010,Philadelphia Union,1,San Jose Earthquakes,2,San Jose Earthquakes
2010-07-10,2010,New York Red Bulls,0,DC United,0,DC United
2010-07-10,2010,New England Revolution,2,LA Galaxy,0,New England Revolution
2010-07-10,2010,Houston Dynamo,0,Columbus Crew,0,Columbus Crew
2010-07-10,2010,Sporting Kansas City,0,CD Chivas USA,2,CD Chivas USA
2010-07-12,2010,Seattle Sounders,1,FC Dallas,1,FC Dallas
2010-07-14,2010,Columbus Crew,0,Sporting Kansas City,1,Sporting Kansas City
2010-07-15,2010,DC United,0,Seattle Sounders,1,Seattle Sounders
2010-07-17,2010,Philadelphia Union,2,Toronto FC,1,Philadelphia Union
2010-07-17,2010,Columbus Crew,2,New York Red Bulls,0,Columbus Crew
2010-07-17,2010,FC Dallas,2,Real Salt Lake,0,FC Dallas
2010-07-17,2010,Colorado Rapids,1,Sporting Kansas City,1,Sporting Kansas City
2010-07-18,2010,DC United,1,LA Galaxy,2,LA Galaxy
2010-07-23,2010,LA Galaxy,2,San Jose Earthquakes,2,San Jose Earthquakes
2010-07-24,2010,Toronto FC,1,FC Dallas,1,FC Dallas
2010-07-24,2010,Columbus Crew,3,Houston Dynamo,0,Columbus Crew
2010-07-25,2010,Real Salt Lake,1,CD Chivas USA,1,CD Chivas USA
2010-07-26,2010,Seattle Sounders,2,Colorado Rapids,1,Seattle Sounders
2010-07-31,2010,Philadelphia Union,1,New England Revolution,1,New England Revolution
2010-07-31,2010,Colorado Rapids,1,FC Dallas,1,FC Dallas
2010-07-31,2010,Houston Dynamo,2,New York Red Bulls,2,New York Red Bulls
2010-07-31,2010,Sporting Kansas City,1,Toronto FC,0,Sporting Kansas City
2010-07-31,2010,Real Salt Lake,3,DC United,0,Real Salt Lake
2010-08-01,2010,San Jose Earthquakes,0,Seattle Sounders,1,Seattle Sounders
2010-08-01,2010,CD Chivas USA,3,Columbus Crew,1,CD Chivas USA
2010-08-01,2010,LA Galaxy,2,Chicago Fire,3,Chicago Fire
2010-08-05,2010,Philadelphia Union,1,Columbus Crew,2,Columbus Crew
2010-08-07,2010,Toronto FC,2,CD Chivas USA,1,Toronto FC
2010-08-07,2010,New England Revolution,1,DC United,0,New England Revolution
2010-08-07,2010,Sporting Kansas City,1,Real Salt Lake,1,Real Salt Lake
2010-08-07,2010,Colorado Rapids,1,San Jose Earthquakes,0,Colorado Rapids
2010-08-08,2010,FC Dallas,3,Philadelphia Union,1,FC Dallas
2010-08-08,2010,Chicago Fire,0,New York Red Bulls,0,New York Red Bulls
2010-08-09,2010,Seattle Sounders,2,Houston Dynamo,0,Seattle Sounders
2010-08-11,2010,New York Red Bulls,1,Toronto FC,0,New York Red Bulls
2010-08-11,2010,Philadelphia Union,1,Real Salt Lake,1,Real Salt Lake
2010-08-14,2010,Philadelphia Union,1,Colorado Rapids,1,Colorado Rapids
2010-08-14,2010,New York Red Bulls,0,LA Galaxy,1,LA Galaxy
2010-08-14,2010,DC United,1,FC Dallas,3,FC Dallas
2010-08-14,2010,New England Revolution,1,Houston Dynamo,0,New England Revolution
2010-08-14,2010,Real Salt Lake,2,Columbus Crew,0,Real Salt Lake
