,full_date,home_team,home_score,away_team,away_score,season,beat
164,2014-10-16,HOU,1,New England,2,reg,10H30
166,2015-03-07,HOU,1,Columbus,0,reg,10H30
167,2015-03-13,HOU,0,Orlando,1,reg,10H30
169,2015-03-28,HOU,0,Colorado,0,reg,10H30
171,2015-04-11,HOU,3,Montreal,0,reg,10H30
173,2015-04-25,HOU,4,Sporting KC,4,reg,10H30
174,2015-05-01,HOU,1,FC Dallas,4,reg,10H30
175,2015-05-05,HOU,0,San Jose,1,reg,10H30
177,2015-05-16,HOU,3,Portland,1,reg,10H30
180,2015-06-05,HOU,4,NY Red Bulls,2,reg,10H30
183,2015-07-03,HOU,1,Chicago,1,reg,10H30
186,2015-07-25,HOU,3,LA Galaxy,0,reg,10H30
188,2015-08-08,HOU,2,San Jose,1,reg,10H30
192,2015-08-29,HOU,2,Vancouver,0,reg,10H30
193,2015-09-12,HOU,1,Real Salt Lake,3,reg,10H30
195,2015-09-23,HOU,1,Sporting KC,0,reg,10H30
196,2015-09-26,HOU,3,Colorado,2,reg,10H30
200,2016-03-06,HOU,3,New England,3,reg,10H30
201,2016-03-12,HOU,5,FC Dallas,0,reg,10H30
205,2016-04-15,HOU,1,LA Galaxy,4,reg,10H30
208,2016-05-07,HOU,2,Sporting KC,0,reg,10H30
210,2016-05-15,HOU,1,Real Salt Lake,0,reg,10H30
214,2016-06-18,HOU,0,D.C. United,0,reg,10H30
216,2016-07-02,HOU,1,Philadelphia,0,reg,10H30
219,2016-07-23,HOU,0,Vancouver,0,reg,10H30
220,2016-07-31,HOU,1,San Jose,1,reg,10H30
222,2016-08-14,HOU,1,Toronto FC,1,reg,10H30
225,2016-08-27,HOU,1,FC Dallas,3,reg,10H30
228,2016-09-24,HOU,3,Portland,1,reg,10H30
229,2016-09-30,HOU,0,NYCFC,2,reg,10H30
230,2016-10-08,HOU,2,Colorado,3,reg,10H30
232,2016-10-16,HOU,0,LA Galaxy,1,reg,10H30
234,2017-03-04,HOU,2,Seattle,1,reg,10H30
235,2017-03-11,HOU,3,Columbus,1,reg,10H30
237,2017-04-01,HOU,4,NY Red Bulls,1,reg,10H30
239,2017-04-15,HOU,2,Minnesota,2,reg,10H30
240,2017-04-22,HOU,2,San Jose,0,reg,10H30
242,2017-05-06,HOU,4,Orlando,0,reg,10H30
243,2017-05-12,HOU,2,Vancouver,1,reg,10H30
247,2017-05-31,HOU,5,Real Salt Lake,1,reg,10H30
250,2017-06-23,HOU,1,FC Dallas,1,reg,10H30
252,2017-07-05,HOU,3,Montreal,1,reg,10H30
255,2017-07-29,HOU,2,Portland,2,reg,10H30
257,2017-08-12,HOU,3,San Jose,0,reg,10H30
260,2017-09-09,HOU,0,Colorado,1,reg,10H30
263,2017-09-27,HOU,3,LA Galaxy,3,reg,10H30
264,2017-09-30,HOU,2,Minnesota,1,reg,10H30
265,2017-10-11,HOU,2,Sporting KC,1,reg,10H30
267,2017-10-22,HOU,3,Chicago,0,reg,10H30
1,2011-11-03,HOU,1,Philadelphia Union,0,plo,10H30
5,2012-11-04,HOU,2,Sporting Kansas City,0,plo,10H30
7,2012-11-11,HOU,3, Washington D.C. United,1,plo,10H30
10,2013-10-31,HOU,3,Montreal Impact,0,plo,10H30
11,2013-11-03,HOU,2,New York Red Bulls,2,plo,10H30
13,2013-11-09,HOU,0,Sporting Kansas City,0,plo,10H30
15,2017-10-26,HOU,1,Kansas City,0,plo,10H30
16,2017-10-30,HOU,0,Portland Tumbers,0,plo,10H30
18,2017-11-21,HOU,0,Seattle,2,plo,10H30
