G,Date,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
13,Dec 7 2013,12:00 PM,Sat,Rice,,Marshall,CUSA,W,41,24,10,3,W 4,CUSA Championship Game
14,Dec 31 2013,4:00 PM,Tue,Rice,N,Mississippi State,SEC,L,7,44,10,4,L 1,Liberty Bowl (Memphis TN)
1,Aug 30 2014,3:30 PM,Sat,Rice,@,(17) Notre Dame,Ind,L,17,48,0,1,L 1,NBC,
2,Sep 13 2014,9:00 PM,Sat,Rice,@,(7) Texas A&M,SEC,L,10,38,0,2,L 2,ESPN 2,
3,Sep 20 2014,12:00 PM,Sat,Rice,,Old Dominion,CUSA,L,42,45,0,3,L 3,FSN MSG+ ROOT-RM,
4,Sep 27 2014,7:00 PM,Sat,Rice,@,Southern Mississippi,CUSA,W,41,23,1,3,W 1,FCS,
5,Oct 4 2014,7:00 PM,Sat,Rice,,Hawaii,MWC,W,28,14,2,3,W 2,ASN CSN-BAY TCN-PHI,
6,Oct 11 2014,12:00 PM,Sat,Rice,@,Army,Ind,W,41,21,3,3,W 3,CBSSN,
7,Oct 25 2014,12:00 PM,Sat,Rice,,North Texas,CUSA,W,41,21,4,3,W 4,FSN MSG ROOT-PIT RM,
8,Nov 1 2014,12:00 PM,Sat,Rice,@,Florida International,CUSA,W,31,17,5,3,W 5,American Sports Network,
9,Nov 8 2014,12:00 PM,Sat,Rice,,UTSA,CUSA,W,17,7,6,3,W 6,FSN-OH DET MSG+ MASN2,
10,Nov 15 2014,2:30 PM,Sat,Rice,@,(21) Marshall,CUSA,L,14,41,6,4,L 1,FSN MSG+ ROOT-PITT,
11,Nov 21 2014,8:00 PM,Fri,Rice,,UTEP,CUSA,W,31,13,7,4,W 1,FS1,
12,Nov 29 2014,12:00 PM,Sat,Rice,@,Louisiana Tech,CUSA,L,31,76,7,5,L 1,CBSSN,
13,Dec 24 2014,8:00 PM,Wed,Rice,N,Fresno State,MWC,W,30,6,8,5,W 1,ESPN,Hawaii Bowl (Honolulu HI)
1,Sep 5 2015,3:30 PM,Sat,Rice,,Wagner,Non-Major,W,56,16,1,0,W 1,,
2,Sep 12 2015,8:00 PM,Sat,Rice,@,Texas,Big 12,L,28,42,1,1,L 1,,
3,Sep 19 2015,2:30 PM,Sat,Rice,@,North Texas,CUSA,W,38,24,2,1,W 1,,
4,Sep 26 2015,3:00 PM,Sat,Rice,@,(5) Baylor,Big 12,L,17,70,2,2,L 1,,
5,Oct 3 2015,3:30 PM,Sat,Rice,,Western Kentucky,CUSA,L,10,49,2,3,L 2,,
6,Oct 10 2015,2:30 PM,Sat,Rice,@,Florida Atlantic,CUSA,W,27,26,3,3,W 1,,
7,Oct 24 2015,12:00 PM,Sat,Rice,,Army,Ind,W,38,31,4,3,W 2,,
8,Oct 30 2015,8:00 PM,Fri,Rice,,Louisiana Tech,CUSA,L,17,42,4,4,L 1,,
9,Nov 6 2015,8:00 PM,Fri,Rice,@,UTEP,CUSA,L,21,24,4,5,L 2,CBSSN,
10,Nov 14 2015,3:30 PM,Sat,Rice,,Southern Mississippi,CUSA,L,10,65,4,6,L 3,,
11,Nov 21 2015,7:00 PM,Sat,Rice,@,UTSA,CUSA,L,24,34,4,7,L 4,,
12,Nov 28 2015,3:30 PM,Sat,Rice,,Charlotte,CUSA,W,27,7,5,7,W 1,,
1,Sep 1 2016,8:00 PM,Thu,Rice,@,Western Kentucky,CUSA,L,14,46,0,1,L 1,CBSSN,
2,Sep 10 2016,12:00 PM,Sat,Rice,@,Army,Ind,L,14,31,0,2,L 2,CBSSN,
3,Sep 16 2016,8:00 PM,Fri,Rice,,(21) Baylor,Big 12,L,10,38,0,3,L 3,ESPN,
4,Sep 24 2016,6:00 PM,Sat,Rice,,North Texas,CUSA,L,35,42,0,4,L 4,,
5,Oct 1 2016,7:00 PM,Sat,Rice,@,Southern Mississippi,CUSA,L,28,44,0,5,L 5,,
6,Oct 15 2016,7:00 PM,Sat,Rice,,UTSA,CUSA,L,13,14,0,6,L 6,,
7,Oct 22 2016,3:30 PM,Sat,Rice,,Prairie View A&M,Non-Major,W,65,44,1,6,W 1,,
8,Oct 29 2016,7:00 PM,Sat,Rice,@,Louisiana Tech,CUSA,L,16,61,1,7,L 1,,
9,Nov 5 2016,3:30 PM,Sat,Rice,,Florida Atlantic,CUSA,L,25,42,1,8,L 2,ESPN3,
10,Nov 12 2016,2:00 PM,Sat,Rice,@,Charlotte,CUSA,W,22,21,2,8,W 1,,
11,Nov 19 2016,12:00 PM,Sat,Rice,,UTEP,CUSA,W,44,24,3,8,W 2,ESPN3,
12,Nov 26 2016,8:00 PM,Sat,Rice,@,Stanford,Pac-12,L,17,41,3,9,L 1,,
1,Aug 26 2017,10:00 PM,Sat,Rice,N,(14) Stanford,Pac-12,L,7,62,0,1,L 1,,
2,Sep 9 2017,8:00 PM,Sat,Rice,@,UTEP,CUSA,W,31,14,1,1,W 1,,
3,Sep 16 2017,8:00 PM,Sat,Rice,@,Houston,American,L,3,38,1,2,L 1,,
4,Sep 23 2017,7:30 PM,Sat,Rice,,Florida International,CUSA,L,7,13,1,3,L 2,,
5,Sep 30 2017,12:00 PM,Sat,Rice,@,Pitt,ACC,L,10,42,1,4,L 3,,
6,Oct 7 2017,6:30 PM,Sat,Rice,,Army,Ind,L,12,49,1,5,L 4,,
7,Oct 21 2017,7:00 PM,Sat,Rice,@,UTSA,CUSA,L,7,20,1,6,L 5,,
8,Oct 28 2017,3:30 PM,Sat,Rice,,Louisiana Tech,CUSA,L,28,42,1,7,L 6,,
9,Nov 4 2017,3:00 PM,Sat,Rice,@,UAB,CUSA,L,21,52,1,8,L 7,,
10,Nov 11 2017,3:30 PM,Sat,Rice,,Southern Mississippi,CUSA,L,34,43,1,9,L 8,,
11,Nov 18 2017,2:00 PM,Sat,Rice,@,Old Dominion,CUSA,L,21,24,1,10,L 9,,
12,Nov 25 2017,1:00 PM,Sat,Rice,,North Texas,CUSA,L,14,30,1,11,L 10,,
