,Hour,OffenseType_Aggravated Assault,OffenseType_Auto Theft,OffenseType_Burglary,OffenseType_Murder,OffenseType_Rape,OffenseType_Robbery,OffenseType_Theft,game
2010-05-13,17,0,0,1,0,0,0,0,No Game
2010-05-14,14,0,0,1,0,0,0,0,No Game
2010-05-14,23,0,0,0,0,0,0,1,No Game
2010-05-14,23,0,0,0,0,0,1,0,No Game
2010-05-15,21,0,0,1,0,0,0,0,No Game
2010-05-15,22,0,0,0,0,0,0,1,No Game
2010-05-15,23,0,0,0,0,0,0,1,No Game
2010-05-15,23,0,1,0,0,0,0,0,No Game
2010-05-15,23,0,0,0,0,0,0,1,No Game
2010-05-15,23,0,1,0,0,0,0,0,No Game
2010-05-16,0,0,0,0,0,0,0,1,No Game
2010-05-16,21,0,0,0,0,0,0,1,No Game
2010-05-16,22,0,1,0,0,0,0,0,No Game
2010-05-17,17,0,0,1,0,0,0,0,No Game
2010-05-18,19,0,0,1,0,0,0,0,No Game
2010-05-18,20,0,0,1,0,0,0,0,No Game
2010-05-19,0,0,0,0,0,0,0,1,No Game
2010-05-19,2,0,0,0,0,0,0,1,No Game
2010-05-20,18,0,0,0,0,0,0,1,No Game
2010-05-20,23,0,0,1,0,0,0,0,No Game
2010-05-21,22,0,0,0,0,0,0,1,No Game
2010-05-22,0,0,0,0,0,0,0,1,Won Game
2010-05-22,2,1,0,0,0,0,0,0,Won Game
2010-05-22,2,0,0,0,0,0,0,1,Won Game
2010-05-22,22,0,0,0,0,0,0,1,Won Game
2010-05-26,10,1,0,0,0,0,0,0,No Game
2010-05-26,11,0,0,0,0,0,0,1,No Game
2010-05-26,14,0,0,0,0,0,0,1,No Game
2010-05-26,18,0,0,0,0,0,0,1,No Game
2010-05-26,20,0,0,0,0,0,0,1,No Game
2010-05-27,22,0,0,0,0,0,0,1,No Game
2010-05-28,21,0,0,1,0,0,0,0,No Game
2010-05-28,21,0,0,1,0,0,0,0,No Game
2010-05-28,21,0,0,0,0,0,0,1,No Game
2010-05-28,22,0,0,0,0,0,0,1,No Game
2010-05-28,22,0,0,0,0,0,0,1,No Game
2010-05-30,0,0,0,0,0,0,0,1,No Game
2010-05-30,0,0,0,0,0,0,0,1,No Game
2010-05-30,1,0,0,0,0,0,0,1,No Game
2010-05-31,12,0,0,1,0,0,0,0,No Game
2010-06-02,17,0,0,0,0,0,0,1,No Game
2010-06-03,11,0,0,1,0,0,0,0,No Game
2010-06-03,21,0,0,1,0,0,0,0,No Game
2010-06-04,7,0,0,1,0,0,0,0,No Game
2010-06-04,18,0,1,0,0,0,0,0,No Game
2010-06-04,21,0,0,0,0,0,0,1,No Game
2010-06-04,23,0,0,0,0,0,0,1,No Game
2010-06-04,23,0,0,0,0,0,0,1,No Game
2010-06-05,0,0,0,0,0,0,0,1,No Game
2010-06-05,16,0,0,0,0,0,0,1,No Game
2010-06-05,17,0,1,0,0,0,0,0,No Game
2010-06-05,17,0,0,0,0,0,0,1,No Game
2010-06-06,0,0,0,0,0,0,0,1,No Game
2010-06-06,2,0,0,0,0,0,1,0,No Game
2010-06-07,3,0,0,0,0,0,1,0,No Game
2010-06-07,23,0,0,0,0,0,0,1,No Game
2010-06-08,21,0,0,0,0,0,0,1,No Game
2010-06-08,22,0,0,0,0,0,0,1,No Game
2010-06-09,2,0,0,0,0,0,0,1,No Game
2010-06-11,6,0,0,1,0,0,0,0,No Game
2010-06-11,9,0,0,0,0,0,0,1,No Game
2010-06-11,12,0,0,1,0,0,0,0,No Game
2010-06-11,17,0,0,1,0,0,0,0,No Game
2010-06-11,17,0,0,1,0,0,0,0,No Game
2010-06-11,20,0,0,0,0,0,0,1,No Game
2010-06-13,2,0,1,0,0,0,0,0,No Game
2010-06-13,2,0,0,0,0,0,0,1,No Game
2010-06-13,3,1,0,0,0,0,0,0,No Game
2010-06-15,22,0,0,0,0,0,0,1,No Game
2010-06-16,0,0,0,0,0,0,0,1,No Game
2010-06-16,9,0,0,0,0,0,0,1,No Game
2010-06-16,19,0,0,0,0,0,0,1,No Game
2010-06-17,11,0,0,0,0,0,0,1,No Game
2010-06-17,13,0,0,1,0,0,0,0,No Game
2010-06-18,23,0,0,0,0,0,0,1,No Game
2010-06-20,2,0,1,0,0,0,0,0,No Game
2010-06-21,18,1,0,0,0,0,0,0,No Game
2010-06-21,22,0,0,0,0,0,0,1,No Game
2010-06-22,18,1,0,0,0,0,0,0,No Game
2010-06-22,23,0,0,0,0,0,0,1,No Game
2010-06-23,0,0,0,0,0,0,0,1,No Game
2010-06-23,16,0,0,0,0,0,1,0,No Game
2010-06-23,22,0,1,0,0,0,0,0,No Game
2010-06-24,11,0,0,0,0,0,0,1,No Game
2010-06-24,19,0,0,0,0,0,0,1,No Game
2010-06-24,22,0,0,0,0,0,0,1,No Game
2010-06-24,22,0,0,0,0,0,0,1,No Game
2010-06-25,10,0,0,0,0,0,0,1,No Game
2010-06-25,12,0,1,0,0,0,0,0,No Game
2010-06-25,19,0,0,1,0,0,0,0,No Game
2010-06-25,23,0,0,0,0,0,0,1,No Game
2010-06-25,23,0,0,0,0,0,0,1,No Game
2010-06-26,0,0,0,0,0,0,0,1,Lost Game
2010-06-27,3,1,0,0,0,0,0,0,No Game
2010-06-28,17,0,0,0,0,0,0,1,No Game
2010-06-29,21,0,1,0,0,0,0,0,No Game
2010-06-30,0,0,0,0,0,0,0,1,No Game
2010-07-01,0,0,1,0,0,0,0,0,No Game
2010-07-03,10,0,0,0,0,0,0,1,No Game
2010-07-03,15,0,0,1,0,0,0,0,No Game
2010-07-03,21,0,0,0,0,0,0,1,No Game
2010-07-03,23,0,0,0,0,0,0,1,No Game
2010-07-03,23,0,0,0,0,0,0,1,No Game
2010-07-04,1,0,0,0,0,0,0,1,No Game
2010-07-04,4,1,0,0,0,0,0,0,No Game
2010-07-04,21,0,0,1,0,0,0,0,No Game
2010-07-06,22,0,0,0,0,0,0,1,No Game
2010-07-07,19,0,0,1,0,0,0,0,No Game
2010-07-07,19,0,0,0,0,0,0,1,No Game
2010-07-08,6,0,0,0,0,0,0,1,No Game
2010-07-08,8,0,0,1,0,0,0,0,No Game
2010-07-08,8,0,0,1,0,0,0,0,No Game
2010-07-08,10,0,1,0,0,0,0,0,No Game
2010-07-08,21,0,0,0,0,0,0,1,No Game
2010-07-09,15,0,0,1,0,0,0,0,No Game
2010-07-10,1,0,0,1,0,0,0,0,Lost Game
2010-07-10,23,0,0,0,0,0,0,1,Lost Game
2010-07-10,23,0,1,0,0,0,0,0,Lost Game
2010-07-11,1,0,0,0,0,0,0,1,No Game
2010-07-13,17,0,0,0,0,0,0,1,No Game
2010-07-13,23,0,0,0,0,0,0,1,No Game
2010-07-14,0,0,0,0,0,0,0,1,No Game
2010-07-14,0,0,0,0,0,0,0,1,No Game
2010-07-14,1,0,0,0,0,0,0,1,No Game
2010-07-15,15,0,0,1,0,0,0,0,No Game
2010-07-15,18,0,0,1,0,0,0,0,No Game
2010-07-15,19,0,0,0,0,0,0,1,No Game
2010-07-15,19,0,0,1,0,0,0,0,No Game
2010-07-15,23,1,0,0,0,0,0,0,No Game
2010-07-15,23,1,0,0,0,0,0,0,No Game
2010-07-16,12,0,0,0,0,0,0,1,No Game
2010-07-16,15,0,0,0,0,0,0,1,No Game
2010-07-16,18,0,0,1,0,0,0,0,No Game
2010-07-16,20,0,0,1,0,0,0,0,No Game
2010-07-16,20,0,0,1,0,0,0,0,No Game
2010-07-17,8,0,0,1,0,0,0,0,No Game
2010-07-17,13,0,0,1,0,0,0,0,No Game
2010-07-17,14,0,0,1,0,0,0,0,No Game
2010-07-19,12,0,0,1,0,0,0,0,No Game
2010-07-20,7,0,0,0,0,0,0,1,No Game
2010-07-20,14,0,0,0,0,0,0,1,No Game
2010-07-20,22,0,0,0,0,0,0,1,No Game
2010-07-21,14,0,0,0,0,0,0,1,No Game
2010-07-22,20,0,0,0,0,0,0,1,No Game
2010-07-22,21,0,0,0,0,0,0,1,No Game
2010-07-23,0,0,0,0,0,0,0,1,No Game
2010-07-25,8,0,1,0,0,0,0,0,No Game
2010-07-28,20,0,0,0,0,0,0,1,No Game
2010-07-28,21,0,0,0,0,0,0,1,No Game
2010-07-29,8,0,0,0,0,0,0,1,No Game
2010-07-29,8,0,1,0,0,0,0,0,No Game
2010-07-29,9,0,0,0,0,0,0,1,No Game
2010-07-29,9,0,0,0,0,0,0,1,No Game
2010-07-30,18,0,0,0,0,0,0,1,No Game
2010-07-30,21,0,0,0,0,0,0,1,No Game
2010-08-02,0,0,0,0,0,0,0,1,No Game
2010-08-02,7,0,0,1,0,0,0,0,No Game
2010-08-02,8,0,0,0,0,0,0,1,No Game
2010-08-02,10,0,0,1,0,0,0,0,No Game
2010-08-03,20,0,0,0,0,0,0,1,No Game
2010-08-04,19,0,0,0,0,0,0,1,No Game
2010-08-06,8,0,0,1,0,0,0,0,No Game
2010-08-07,9,0,0,0,0,0,0,1,No Game
