date,team,opponent,tm,opp,win_lost,season
2013-12-28,Houston Rockets,New Orleans Pelicans,107,98,W,regular
2013-12-31,Houston Rockets,Sacramento Kings,106,110,L,regular
2014-01-03,Houston Rockets,New York Knicks,102,100,W,regular
2014-01-08,Houston Rockets,Los Angeles Lakers,113,99,W,regular
2014-01-16,Houston Rockets,Oklahoma City Thunder,92,104,L,regular
2014-01-18,Houston Rockets,Milwaukee Bucks,114,104,W,regular
2014-01-20,Houston Rockets,Portland Trail Blazers,126,113,W,regular
2014-01-22,Houston Rockets,Sacramento Kings,119,98,W,regular
2014-01-24,Houston Rockets,Memphis Grizzlies,87,88,L,regular
2014-01-28,Houston Rockets,San Antonio Spurs,97,90,W,regular
2014-02-01,Houston Rockets,Cleveland Cavaliers,106,92,W,regular
2014-02-05,Houston Rockets,Phoenix Suns,122,108,W,regular
2014-02-12,Houston Rockets,Washington Wizards,113,112,W,regular
2014-03-01,Houston Rockets,Detroit Pistons,118,110,W,regular
2014-03-04,Houston Rockets,Miami Heat,106,103,W,regular
2014-03-07,Houston Rockets,Indiana Pacers,112,86,W,regular
2014-03-09,Houston Rockets,Portland Trail Blazers,118,113,W,regular
2014-03-17,Houston Rockets,Utah Jazz,124,86,W,regular
2014-03-20,Houston Rockets,Minnesota Timberwolves,129,106,W,regular
2014-03-27,Houston Rockets,Philadelphia 76ers,120,98,W,regular
2014-03-29,Houston Rockets,Los Angeles Clippers,107,118,L,regular
2014-04-04,Houston Rockets,Oklahoma City Thunder,111,107,W,regular
2014-04-06,Houston Rockets,Denver Nuggets,130,125,W,regular
2014-04-12,Houston Rockets,New Orleans Pelicans,111,104,W,regular
2014-04-14,Houston Rockets,San Antonio Spurs,104,98,W,regular
2014-04-20,Houston Rockets,Portland Trail Blazers,120,122,L,playoffs
2014-04-23,Houston Rockets,Portland Trail Blazers,105,112,L,playoffs
2014-04-30,Houston Rockets,Portland Trail Blazers,108,98,W,playoffs
2014-11-01,Houston Rockets,Boston Celtics,104,90,W,regular
2014-11-06,Houston Rockets,San Antonio Spurs,98,81,W,regular
2014-11-08,Houston Rockets,Golden State Warriors,87,98,L,regular
2014-11-14,Houston Rockets,Philadelphia 76ers,88,87,W,regular
2014-11-19,Houston Rockets,Los Angeles Lakers,92,98,L,regular
2014-11-22,Houston Rockets,Dallas Mavericks,95,92,W,regular
2014-11-24,Houston Rockets,New York Knicks,91,86,W,regular
2014-11-26,Houston Rockets,Sacramento Kings,102,89,W,regular
2014-11-28,Houston Rockets,Los Angeles Clippers,85,102,L,regular
2014-12-03,Houston Rockets,Memphis Grizzlies,105,96,W,regular
2014-12-06,Houston Rockets,Phoenix Suns,100,95,W,regular
2014-12-13,Houston Rockets,Denver Nuggets,108,96,W,regular
2014-12-18,Houston Rockets,New Orleans Pelicans,90,99,L,regular
2014-12-20,Houston Rockets,Atlanta Hawks,97,104,L,regular
2014-12-22,Houston Rockets,Portland Trail Blazers,110,95,W,regular
2014-12-29,Houston Rockets,Washington Wizards,103,104,L,regular
2014-12-31,Houston Rockets,Charlotte Hornets,102,83,W,regular
2015-01-03,Houston Rockets,Miami Heat,115,79,W,regular
2015-01-10,Houston Rockets,Utah Jazz,97,82,W,regular
2015-01-15,Houston Rockets,Oklahoma City Thunder,112,101,W,regular
2015-01-17,Houston Rockets,Golden State Warriors,106,131,L,regular
2015-01-19,Houston Rockets,Indiana Pacers,110,98,W,regular
2015-01-28,Houston Rockets,Dallas Mavericks,99,94,W,regular
2015-02-04,Houston Rockets,Chicago Bulls,101,90,W,regular
2015-02-06,Houston Rockets,Milwaukee Bucks,117,111,W,regular
2015-02-08,Houston Rockets,Portland Trail Blazers,98,109,L,regular
2015-02-21,Houston Rockets,Toronto Raptors,98,76,W,regular
2015-02-23,Houston Rockets,Minnesota Timberwolves,113,102,W,regular
2015-02-25,Houston Rockets,Los Angeles Clippers,110,105,W,regular
2015-02-27,Houston Rockets,Brooklyn Nets,102,98,W,regular
2015-03-01,Houston Rockets,Cleveland Cavaliers,105,103,W,regular
2015-03-04,Houston Rockets,Memphis Grizzlies,100,102,L,regular
2015-03-06,Houston Rockets,Detroit Pistons,103,93,W,regular
2015-03-17,Houston Rockets,Orlando Magic,107,94,W,regular
2015-03-19,Houston Rockets,Denver Nuggets,118,108,W,regular
2015-03-21,Houston Rockets,Phoenix Suns,102,117,L,regular
2015-03-27,Houston Rockets,Minnesota Timberwolves,120,110,W,regular
2015-04-01,Houston Rockets,Sacramento Kings,115,111,W,regular
